Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
SENCO,Senco Gold Limited,Consumer Cyclical,Luxury Goods,5973.0,Small-Cap,MonthlyStage2,Stage Change,0.525,24,10-EMA=337 | 30-EMA=349 | Above by 7.9% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Uptrend,True,Stage2,3,Uptrend,Uptrend,377.0,349.47,271.02,320.45,3345.26,3276.67,7905.82,5142.67,769.1,194.8,10.39,14.74,2.37,0.19,8.41,48.0,14.47,477.67,6,buy,25.6,20.9,-0.29,11.0,0.37,6.81,9.39,33.22,27.4,25.95,261.01,53.73,56.57,151.3,0.15,highly inconsistent earnings,1.07,,1.54,,-224.74,-3.76,64.49,0.02,,7.6,-0.61,12.61,0.53,404.85,276.0,6.9,36.6,3.47,60.82,0.93,0.5,4,30.0,20.8,16.0,3.0,69.8,ACCUMULATE ⭐⭐⭐,Expected ~195% CAGR (2yr) | Revenue CAGR 27% | Profit CAGR 54% | ROE 26% | ROCE 21% | Promoter 64% holding,High D/E 1.1,2-3 years,Medium,"yfinance, screener.in",100,37,,2026-07-25,2026-06-01,54,12.5,7,8.9
ASHAPURMIN,Ashapura Minechem Limited,Basic Materials,Other Industrial Metals & Mining,6588.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,13,Sep 13mo | Mid rally 127% | Asymmetry 0%,,Uptrend,True,False,Uptrend,True,Stage2,1,Uptrend,Uptrend,646.35,41.64,18.35,549.4,1324.68,2063.84,3215.47,2063.84,219.3,78.7,16.42,,3.99,0.29,11.43,15.0,25.99,,0,none,28.0,20.7,1.34,11.0,0.51,7.66,7.84,91.2,41.95,35.47,43.94,55.8,36.75,28.0,0.15,highly inconsistent earnings,0.88,,1.36,,-76.18,-1.16,48.04,0.01,,19.22,-0.28,0.4,0.07,924.9,455.1,30.1,42.0,26.35,159.28,0.15,0.66,5,32.0,25.5,8.0,4.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~79% CAGR (2yr) | Revenue CAGR 42% | Profit CAGR 56% | ROE 28% | ROCE 21% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,367,,2026-07-25,2026-06-01,54,1.3,7,1.0
NMDC,NMDC Limited,Basic Materials,Steel,73166.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,30,Sep 30mo | Mid rally 140% | Asymmetry 1%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,1,Uptrend,Uptrend,89.02,21.51,8.94,75.67,215.23,177.61,260.34,236.71,99.5,41.3,9.83,8.12,2.14,0.98,7.35,421.0,4.35,88.95,21,hold,23.4,27.6,-1.94,29.0,-5.29,23.23,12.29,34.15,21.99,15.85,14.26,9.98,3.49,37.2,0.15,highly inconsistent earnings,0.19,,2.43,,-1396.04,-1.91,60.79,0.0,,13.59,-0.01,13.8,0.04,97.49,68.19,8.7,30.5,40.59,168.73,0.5,0.62,4,23.0,28.5,10.0,8.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~41% CAGR (2yr) | Revenue CAGR 22% | ROE 23% | ROCE 28% | Low D/E 0.19 | Promoter 61% holding,Margin compression ↓ | Earnings due 2026-08-12 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,219,2026-08-12,2026-07-25,2026-06-01,54,0.0,7,1.0
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1387.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,37,Sep 37mo | Mid rally 368% | Asymmetry 1%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,731.7,642.47,136.69,621.95,1474.77,1868.53,2367.43,1868.53,155.4,59.8,30.39,,3.73,1.14,16.97,,100.0,,0,none,13.08,,,6.04,,4.84,6.86,16.3,,,26.7,,,26.6,0.5,insufficient history,0.02,,2.1,,73.26,5.28,75.0,0.0,,0.01,0.0,0.43,0.0,823.85,565.8,11.2,29.3,1.52,-65.37,0.8,-0.0,5,30.0,28.5,8.0,3.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~60% CAGR (2yr) | Revenue CAGR 16% | Profit CAGR 27% | Nearly debt-free | Promoter 75% holding | FCF yield 5.3%,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",70,148,,2026-07-25,2026-06-01,54,7.5,7,3.5
DJML,DJ Mediaprint & Logistics Limited,Industrials,Specialty Business Services,383.0,Micro-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=100 | 30-EMA=95 | Above by 18.9% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Uptrend,True,Stage2,4,Uptrend,Uptrend,113.33,95.34,69.5,96.33,245.74,498.12,1009.68,498.12,339.5,109.6,33.65,,4.06,0.33,16.42,14.0,44.22,,0,none,14.1,16.5,2.0,19.0,-2.5,7.91,8.88,68.29,,,57.14,,,110.7,1.0,steady compounder (low CV),0.43,,3.96,,-27.9,-7.28,55.69,-0.48,,0.18,0.13,0.0,0.0,124.8,52.0,9.2,117.9,12.8,95.94,1.42,-0.23,4,29.0,26.5,10.0,4.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~110% CAGR (2yr) | Revenue CAGR 91% | Profit CAGR 103% | ROCE trend rising ↑ | Promoter 56% holding | Margin compressing ↓ ⚠️,Margin compression ↓,2-3 years,Medium,"yfinance, screener.in",80,44,,2026-07-25,2026-06-01,54,18.7,7,3.5
INDOTHAI,Indo Thai Securities Limited,Financial Services,Capital Markets,2828.0,Small-Cap,MonthlyDoubleBottom,Forming,0.878,30,Sep 30mo | Mid rally 95% | Asymmetry 7%,,Downtrend,False,False,Below-MAs,False,Stage2,12,Uptrend,Uptrend,217.97,47.7,23.57,185.27,212.11,397.88,746.34,397.88,82.5,35.1,41.64,,9.94,0.48,,7.0,0.0,,0,none,28.6,34.6,0.66,83.0,4.43,65.09,21.98,285.19,135.13,36.43,725.0,87.58,48.96,,0.15,highly inconsistent earnings,0.08,,1.95,,,,56.07,-0.43,,1.28,0.06,0.46,-0.03,466.35,143.65,53.3,51.7,39.51,816.9,0.78,1.31,5,40.0,15.04,8.0,6.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~35% CAGR (2yr) | Revenue CAGR 135% | Profit CAGR 88% | ROE 29% | ROCE 35% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",90,177,,2026-07-25,2026-06-01,54,-18.8,7,0.0
PIGL,Power & Instrumental (Gujarat) Limited,Industrials,Engineering & Construction,236.0,Micro-Cap,MonthlyDoubleBottom,Forming,1.0,18,Sep 18mo | Mid rally 153% | Asymmetry 4%,,Downtrend,False,False,Below-MAs,False,Stage2,4,Uptrend,Uptrend,103.97,92.78,35.99,88.37,237.51,368.99,573.26,368.99,254.9,88.4,24.48,,1.26,0.44,9.24,18.0,0.0,,0,none,11.0,15.5,1.2,10.0,0.8,6.59,6.86,29.59,32.57,,25.0,55.36,,29.5,0.4,lumpy earner,0.08,,2.44,,32.42,13.75,50.7,4.41,,0.01,0.01,0.75,0.75,189.7,88.05,45.2,18.1,-16.67,127.82,0.61,0.45,5,40.0,16.0,13.0,0.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~88% CAGR (2yr) | Revenue CAGR 33% | Profit CAGR 55% | ROCE trend rising ↑ | Nearly debt-free | Promoter 51% holding,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,97,,2026-07-25,2026-06-01,54,0.0,7,9.0
RADICO,Radico Khaitan Limited,Consumer Defensive,Beverages - Wineries & Distilleries,54905.0,Large-Cap,MonthlyDoubleBottom,Forming,0.7,13,Sep 13mo | Mid rally 71% | Asymmetry 1%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,15,Uptrend,Uptrend,3599.9,146.19,85.13,3059.91,3050.32,4154.11,5980.33,4271.05,15.4,7.4,90.9,56.69,16.54,2.27,40.28,15.0,10.06,3978.7,20,strong_buy,20.3,24.2,0.89,17.0,0.03,8.84,,24.65,24.44,20.52,74.57,40.02,16.87,62.3,0.15,highly inconsistent earnings,0.21,,,,,,40.19,-0.01,,18.2,0.57,28.08,0.73,4161.8,2500.0,13.5,44.0,45.46,176.84,0.78,0.24,3,34.0,23.9,1.0,10.0,68.9,ACCUMULATE ⭐⭐⭐,Expected ~7% CAGR (2yr) | Revenue CAGR 24% | Profit CAGR 40% | ROE 20% | ROCE 24% | ROCE trend rising ↑,High PE 91 | Earnings due 2026-07-28 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",80,276,2026-07-28,2026-07-25,2026-06-01,54,0.0,7,0.0
SANDUMA,The Sandur Manganese & Iron Ores Limited,Basic Materials,Steel,9523.0,Mid-Cap,MonthlyDoubleBottom,Forming,0.877,11,Sep 11mo | Mid rally 90% | Asymmetry 2%,MonthlyCupHandle+MonthlyDoubleBottom,Downtrend,False,False,Below-MAs,False,Stage2,1,Uptrend,Uptrend,201.35,210.6,109.48,171.15,403.44,542.26,728.86,542.26,169.3,64.1,14.49,,2.93,0.42,8.5,26.0,25.0,,0,none,23.2,24.4,-1.57,24.0,-2.46,12.9,11.16,62.3,33.76,48.61,39.7,34.41,34.95,50.5,0.15,highly inconsistent earnings,0.31,,1.16,,793.91,8.34,74.22,0.0,,1.73,0.1,0.58,-0.08,273.0,141.37,26.2,42.4,41.32,,0.12,0.77,4,38.0,13.52,11.0,6.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~64% CAGR (2yr) | Revenue CAGR 34% | Profit CAGR 34% | ROE 23% | ROCE 24% | Promoter 74% holding,Margin compression ↓ | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,35,,2026-07-25,2026-06-01,54,-11.0,7,-12.0
APCOTEXIND,Apcotex Industries Limited,Basic Materials,Specialty Chemicals,2743.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=429 | 30-EMA=406 | Above by 25.1% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Uptrend,True,Stage2,1,Uptrend,Uptrend,507.4,405.67,300.82,431.29,841.18,1744.6,3618.31,1744.6,243.8,85.4,27.02,18.9,4.42,0.25,15.61,151.0,13.3,700.0,1,strong_buy,24.4,19.8,,10.0,-1.0,7.03,8.2,23.21,,,-2.56,,,107.3,0.15,highly inconsistent earnings,0.15,,1.66,,108.11,3.94,58.23,0.0,,0.69,0.05,1.91,-0.32,579.0,310.45,12.4,63.4,32.47,-26.75,0.42,0.23,5,27.0,26.5,7.0,8.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~85% CAGR (2yr) | Profit CAGR 107% | ROE 24% | Low D/E 0.15 | Promoter 58% holding | Margin compressing ↓ ⚠️,Margin compression ↓,2-3 years,Medium,"yfinance, screener.in",80,288,,2026-07-25,2026-06-01,54,-0.2,7,-5.5
