Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
PASUPTAC,Pasupati Acrylon Limited,Consumer Cyclical,Textile Manufacturing,533.0,Small-Cap,MonthlyStage2,Breaking Out,1.0,24,10-EMA=55 | 30-EMA=48 | Above by 54.4% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Uptrend,True,Stage2,3,Bear,Choppy,74.21,48.08,40.0,63.08,1365.42,3196.45,7482.9,3196.45,4207.3,556.3,7.63,,1.22,0.06,4.41,,,,0,none,17.49,,,14.54,,6.92,10.0,45.3,,,134.1,,,133.2,0.5,insufficient history,0.25,,4.25,,38.74,7.26,65.87,0.0,,0.47,0.12,0.21,0.0,64.3,40.1,-15.4,85.1,56.8,127.44,4.14,0.36,5,36.0,24.0,13.0,8.0,81.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~556% CAGR (2yr) | Revenue CAGR 45% | Profit CAGR 134% | Low D/E 0.25 | Promoter 66% holding | FCF yield 7.3%,None identified,1-3 years,Low-Medium,"yfinance, screener.in",70,57,,2026-06-06,2026-06-01,5,39.6,1,3.5
SEAMECLTD,Seamec Limited,Industrials,Marine Shipping,4119.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=1352 | 30-EMA=1157 | Above by 37.1% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Tight-Above-MAs,True,Stage2,4,Bear,Choppy,1586.1,1156.7,796.15,1348.18,6831.15,13354.21,26106.14,13354.21,742.0,190.2,16.34,,3.82,0.17,10.69,0.0,0.0,,0,none,21.8,20.0,2.03,42.0,2.06,26.39,9.36,46.01,29.63,29.94,188.64,95.49,20.74,140.8,0.15,highly inconsistent earnings,0.27,,1.89,,-201.82,-4.9,72.72,0.0,,3.73,0.37,4.49,0.41,1709.2,752.55,7.2,110.8,104.88,98.26,0.35,0.12,6,35.0,24.5,12.0,8.0,79.5,BUY ⭐⭐⭐⭐,Expected ~190% CAGR (2yr) | Revenue CAGR 30% | Profit CAGR 95% | ROE 22% | ROCE trend rising ↑ | Low D/E 0.27,None identified,1-3 years,Low-Medium,"yfinance, screener.in",100,288,,2026-06-06,2026-06-01,5,1.6,1,-3.5
JINDRILL,Jindal Drilling & Industries Limited,Energy,Oil & Gas Equipment & Services,1719.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,21,Sep 21mo | Mid rally 456% | Asymmetry 0%,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Constructive,True,Stage2,1,Bear,Choppy,655.45,1032.12,185.38,557.13,1872.61,2426.34,3143.81,2426.34,270.2,92.4,8.16,,0.94,0.28,4.16,17.0,25.99,,0,none,12.5,15.4,2.69,35.0,3.43,21.13,4.92,20.41,24.87,20.16,-2.31,29.57,25.42,-36.6,0.15,highly inconsistent earnings,0.05,,1.58,,130.28,7.58,66.78,0.34,,0.62,-0.23,0.0,0.0,693.5,440.1,5.5,48.9,10.86,69.85,8.92,-0.41,7,40.0,21.0,14.0,4.0,79.0,BUY ⭐⭐⭐⭐,Expected ~92% CAGR (2yr) | Revenue CAGR 25% | Profit CAGR 30% | ROCE trend rising ↑ | Nearly debt-free | Promoter 67% holding,Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,261,,2026-06-06,2026-06-01,5,0.0,1,-4.0
NATIONALUM,National Aluminium Company Limited,Basic Materials,Aluminum,77956.0,Large-Cap,MonthlyDoubleBottom,Forming,0.971,11,Sep 11mo | Mid rally 98% | Asymmetry 1%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,1,Bear,Choppy,395.7,109.96,55.48,336.34,1072.74,1186.92,2720.88,1708.45,200.0,73.2,12.69,11.26,3.61,0.21,8.05,188.0,5.73,404.64,11,hold,29.4,39.6,4.8,44.0,4.69,31.32,19.88,6.28,7.77,14.78,10.04,59.26,34.87,-16.7,0.15,highly inconsistent earnings,0.0,,3.6,,3684.96,4.73,51.28,0.0,,22.27,2.6,10.75,-1.6,445.15,176.34,11.1,124.4,129.14,352.85,0.28,0.6,6,40.0,16.65,12.0,10.0,78.6,BUY ⭐⭐⭐⭐,Expected ~73% CAGR (2yr) | Profit CAGR 59% | ROE 29% | ROCE 40% | ROCE trend rising ↑ | Nearly debt-free,Earnings due 2026-07-30 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,327,2026-07-30,2026-06-06,2026-06-01,5,-0.8,1,-4.0
THANGAMAYL,Thangamayil Jewellery Limited,Consumer Cyclical,Luxury Goods,13070.0,Mid-Cap,MonthlyDoubleBottom,Forming,0.991,8,Sep 8mo | Mid rally 109% | Asymmetry 10%,,Uptrend,True,True,Uptrend,True,Stage2,3,Bear,Choppy,3653.1,230.34,105.16,3105.13,26585.1,73893.34,540503.92,119872.24,1922.8,349.8,37.18,27.18,11.2,0.11,24.09,43.0,37.16,4925.0,3,buy,27.93,,,7.11,,4.14,10.28,105.6,,,350.9,,,354.3,0.5,insufficient history,0.65,,1.54,,203.12,1.55,61.61,0.05,,4.37,-0.33,17.41,0.79,4373.0,1750.1,16.5,108.7,105.19,366.38,1.12,0.61,5,34.0,20.89,13.0,10.0,77.9,BUY ⭐⭐⭐⭐,Expected ~350% CAGR (2yr) | Revenue CAGR 106% | Profit CAGR 351% | ROE 28% | Promoter 62% holding | Piotroski F=5 (above average quality),Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",70,196,,2026-06-06,2026-06-01,5,0.0,1,-4.0
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,103683.0,Large-Cap,MonthlyDoubleBottom,Forming,0.974,41,Sep 41mo | Mid rally 98% | Asymmetry 1%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,5,Bear,Choppy,2267.7,1234.32,618.72,1927.54,13963.79,20139.49,72997.45,31926.81,788.1,198.0,19.49,22.28,4.62,0.15,12.39,53.0,44.22,2458.5,38,buy,29.1,30.3,5.69,32.0,4.29,19.07,12.76,23.12,18.88,13.02,61.98,128.64,54.16,89.0,0.15,highly inconsistent earnings,0.29,,1.9,,4926.22,4.75,46.85,-0.04,,21.7,0.2,25.32,-0.26,2494.0,1836.8,9.1,23.5,23.94,115.28,0.27,0.23,7,40.0,18.19,13.0,6.0,77.2,BUY ⭐⭐⭐⭐,Expected ~198% CAGR (2yr) | Revenue CAGR 19% | Profit CAGR 129% | ROE 29% | ROCE 30% | ROCE trend rising ↑,Earnings due 2026-08-05 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,298,2026-08-05,2026-06-06,2026-06-01,5,-0.9,1,-4.0
SKYGOLD,Sky Gold and Diamonds Limited,Consumer Cyclical,Luxury Goods,8069.0,Mid-Cap,MonthlyDoubleBottom,Forming,0.372,13,Sep 13mo | Mid rally 40% | Asymmetry 2%,,Uptrend,True,True,Tight-Above-MAs,True,Stage2,3,Bear,Choppy,528.45,402.85,285.0,449.18,2704.02,4226.01,16330.39,6645.12,699.7,182.8,28.82,17.02,7.69,0.2,17.31,0.0,,597.33,3,strong_buy,29.2,27.0,3.3,7.0,1.1,4.35,16.11,77.42,76.03,,112.03,145.75,,120.8,0.4,lumpy earner,0.72,,1.89,,159.03,1.97,51.74,0.0,,1.2,0.42,13.14,1.48,549.9,246.05,3.9,114.8,88.61,1863.86,0.6,,5,40.0,15.96,13.0,8.0,77.0,BUY ⭐⭐⭐⭐,Expected ~183% CAGR (2yr) | Revenue CAGR 76% | Profit CAGR 146% | ROE 29% | ROCE 27% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,42,,2026-06-06,2026-06-01,5,15.3,1,-6.0
VENUSREM,Venus Remedies Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1713.0,Small-Cap,MonthlyDoubleBottom,Forming,0.723,8,Sep 8mo | Mid rally 76% | Asymmetry 3%,,Uptrend,True,True,Uptrend,True,Stage2,5,Bear,Choppy,1005.2,592.69,331.51,854.42,4955.65,7743.2,12098.75,7743.2,670.3,177.5,16.64,,2.88,0.3,11.0,78.0,0.0,,0,none,16.8,21.7,2.29,19.0,1.26,13.35,9.69,20.31,11.73,7.2,128.89,56.25,10.69,126.4,0.15,highly inconsistent earnings,0.02,,2.44,,93.44,5.45,41.76,0.0,,2.8,0.55,1.2,0.17,1280.05,415.4,21.5,142.0,126.98,272.64,0.45,0.15,7,37.0,17.68,12.0,10.0,76.7,BUY ⭐⭐⭐⭐,Expected ~178% CAGR (2yr) | Profit CAGR 56% | ROCE 22% | ROCE trend rising ↑ | Nearly debt-free | FCF yield 5.5%,Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,234,,2026-06-06,2026-06-01,5,0.0,1,-4.0
SANDUMA,The Sandur Manganese & Iron Ores Limited,Basic Materials,Steel,11001.0,Mid-Cap,MonthlyDoubleBottom,Forming,0.877,11,Sep 11mo | Mid rally 90% | Asymmetry 2%,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,False,Tight-Above-MAs,True,Stage2,1,Bear,Choppy,222.86,210.6,109.48,189.43,386.25,519.16,697.8,519.16,133.0,52.6,16.75,,3.79,0.49,9.72,18.0,25.0,,0,none,23.2,24.4,-1.57,24.0,-2.46,12.9,11.16,62.3,33.76,48.61,39.7,34.41,34.95,50.5,0.15,highly inconsistent earnings,0.31,,1.16,,793.91,7.22,74.22,0.0,,1.63,0.43,0.66,-0.01,273.0,141.37,18.4,57.6,54.24,,0.12,0.77,4,38.0,21.52,10.0,7.0,76.5,BUY ⭐⭐⭐⭐,Expected ~53% CAGR (2yr) | Revenue CAGR 34% | Profit CAGR 34% | ROE 23% | ROCE 24% | Promoter 74% holding,Margin compression ↓ | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,34,,2026-06-06,2026-06-01,5,-1.5,1,-4.0
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,Asset Management,70246.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,36,Sep 36mo | Mid rally 133% | Asymmetry 3%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,12,Bear,Choppy,1113.1,412.28,174.58,946.13,663.4,945.52,1093.04,851.54,,,46.52,33.19,15.04,1.64,34.59,195.0,18.22,1086.48,23,none,34.5,43.8,3.06,66.0,0.69,52.14,25.08,7.59,21.46,13.81,18.9,28.36,17.59,28.8,0.15,highly inconsistent earnings,0.02,,4.2,,1302.41,1.85,71.93,-0.12,,7.35,-0.55,14.77,0.94,1125.0,714.05,1.1,55.9,45.84,257.04,0.38,0.59,7,40.0,24.5,1.0,10.0,75.5,BUY ⭐⭐⭐⭐,Revenue CAGR 21% | Profit CAGR 28% | ROE 34% | ROCE 44% | ROCE trend rising ↑ | Nearly debt-free,Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,104,,2026-06-06,2026-06-01,5,2.9,1,-5.0
