Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
STOVEKRAFT,Stove Kraft Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2645.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=640 | 30-EMA=623 | Above by 24.4% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,774.95,623.06,453.5,658.71,3073.96,7958.35,53171.12,12784.59,927.0,220.5,62.91,31.41,5.24,0.2,16.42,44.0,20.0,719.0,3,none,67.5,31.8,7.4,13.0,2.86,2.61,4.55,28.21,17.91,11.48,2600.0,,,317.9,0.2,multiple loss years in history,0.23,,0.97,,141.1,5.33,55.79,0.0,,0.81,-0.06,7.97,-0.37,828.0,447.05,6.4,73.3,22.78,21.74,0.34,0.41,6,40.0,28.5,13.0,8.0,89.5,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~220% CAGR (2yr) | Revenue CAGR 18% | Profit CAGR 316% | ROE 68% | ROCE 32% | ROCE trend rising ↑,High PE 63,1-3 years,Low-Medium,"yfinance, screener.in",90,66,,2026-07-15,2026-06-01,44,43.4,6,10.0
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,114140.0,Large-Cap,MonthlyDoubleBottom,Forming,0.974,41,Sep 41mo | Mid rally 98% | Asymmetry 1%,,Sideways-Above-MA,True,True,Constructive,False,Stage2,6,Uptrend,Uptrend,2287.4,1234.32,618.72,1944.29,12795.24,18546.39,66888.74,29255.05,710.8,184.7,21.46,24.4,5.08,0.17,13.67,72.0,44.22,2483.41,37,buy,29.1,30.3,5.69,32.0,4.29,19.07,12.76,23.12,18.88,13.02,61.98,128.64,54.16,89.0,0.15,highly inconsistent earnings,0.29,,1.9,,4926.22,4.32,46.85,-0.04,,21.7,0.2,25.32,-0.26,2526.9,1836.8,9.5,24.5,26.48,134.47,1.09,0.18,7,40.0,22.19,13.0,8.0,83.2,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~185% CAGR (2yr) | Revenue CAGR 19% | Profit CAGR 129% | ROE 29% | ROCE 30% | ROCE trend rising ↑,Earnings due 2026-08-05 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,297,2026-08-05,2026-07-15,2026-06-01,44,0.0,6,2.0
JINDRILL,Jindal Drilling & Industries Limited,Energy,Oil & Gas Equipment & Services,1748.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,21,Sep 21mo | Mid rally 456% | Asymmetry 0%,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Constructive,True,Stage2,1,Uptrend,Uptrend,655.45,1032.12,185.38,557.13,1842.12,2386.84,3092.63,2386.84,264.2,90.8,8.3,,0.96,0.28,4.24,17.0,25.99,,0,none,12.5,15.4,2.69,35.0,3.43,21.13,4.92,20.41,24.87,20.16,-2.31,29.57,25.42,-36.6,0.15,highly inconsistent earnings,0.05,,1.58,,130.28,7.45,66.78,0.34,,0.62,-0.23,0.0,0.0,693.5,440.1,5.5,48.9,10.86,69.85,8.92,-0.34,7,40.0,25.0,14.0,4.0,83.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~91% CAGR (2yr) | Revenue CAGR 25% | Profit CAGR 30% | ROCE trend rising ↑ | Nearly debt-free | Promoter 67% holding,Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,261,,2026-07-15,2026-06-01,44,0.0,6,0.0
CONSOFINVT,Consolidated Finvest & Holdings Limited,Financial Services,Capital Markets,851.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=217 | 30-EMA=198 | Above by 32.7% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Uptrend,True,Stage2,12,Uptrend,Uptrend,263.33,198.41,164.27,223.83,782.27,1447.67,2679.06,1447.67,449.8,134.5,13.46,,0.73,0.16,13.78,43.0,33.9,,0,none,33.6,34.5,,99.18,,86.77,3.22,-87.62,17.57,-0.75,1.58,85.06,53.39,-40.0,0.2,multiple loss years in history,,,190.33,,36.74,4.32,74.89,0.0,,2.58,-1.6,0.02,0.0,269.0,152.0,2.1,73.2,44.02,62.5,0.85,0.53,3,34.0,26.5,12.0,10.0,82.5,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~134% CAGR (2yr) | Revenue CAGR 18% | Profit CAGR 85% | ROE 34% | ROCE 34% | Promoter 75% holding,None identified,1-3 years,Low-Medium,"yfinance, screener.in",90,289,,2026-07-15,2026-06-01,44,13.9,6,7.0
LUMAXTECH,Lumax Auto Technologies Limited,Consumer Cyclical,Auto Parts,10162.0,Mid-Cap,MonthlyDoubleBottom,Forming,1.0,33,Sep 33mo | Mid rally 205% | Asymmetry 2%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,3,Uptrend,Uptrend,1626.1,194.78,63.18,1382.18,3702.9,4033.88,7763.89,5361.8,148.1,57.5,36.5,23.36,8.4,0.81,17.18,37.0,16.26,2042.0,5,strong_buy,26.8,21.4,1.4,14.0,1.03,5.73,8.34,33.9,38.15,34.46,47.16,44.8,45.89,50.9,1.0,steady compounder (low CV),0.83,,1.06,,65.65,0.65,55.98,0.0,,8.38,0.38,16.81,0.29,1898.0,954.1,14.3,70.4,46.64,349.82,0.45,0.43,6,39.0,22.5,13.0,7.0,81.5,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~58% CAGR (2yr) | Revenue CAGR 38% | Profit CAGR 45% | ROE 27% | ROCE 21% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,233,,2026-07-15,2026-06-01,44,0.0,6,5.0
MCX,Multi Commodity Exchange of India Limited,Financial Services,Financial Data & Stock Exchanges,70518.0,Large-Cap,MonthlyDoubleBottom,Forming,0.968,25,Sep 25mo | Mid rally 104% | Asymmetry 7%,,Uptrend,True,False,Uptrend,True,Stage2,12,Uptrend,Uptrend,3414.7,251.5,119.52,2902.49,2877.88,4955.71,12395.86,5972.76,45.1,20.5,53.19,33.57,16.76,0.49,37.62,22.0,19.91,3430.14,14,buy,56.3,71.4,10.17,71.0,4.26,54.82,17.92,106.83,64.83,42.56,137.86,107.54,42.71,291.1,0.15,highly inconsistent earnings,0.0,,1.31,,2811.41,3.99,,,,26.07,5.43,54.35,-4.81,3480.0,1460.8,1.9,133.8,99.34,1033.5,0.58,0.6,6,40.0,26.12,8.0,7.0,81.1,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~20% CAGR (2yr) | Revenue CAGR 65% | Profit CAGR 108% | ROE 56% | ROCE 71% | ROCE trend rising ↑,High PE 53 | Earnings due 2026-07-30 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",90,171,2026-07-30,2026-07-15,2026-06-01,44,0.0,6,2.0
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,Asset Management,77527.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,36,Sep 36mo | Mid rally 133% | Asymmetry 3%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,12,Uptrend,Uptrend,1082.2,412.28,174.58,919.87,585.15,916.21,964.11,751.1,,,51.28,36.19,16.61,1.81,36.86,176.0,-1.3,1163.88,24,buy,34.5,43.8,3.06,69.0,1.11,52.14,25.06,16.12,24.59,15.56,18.9,28.36,17.59,28.8,0.15,highly inconsistent earnings,0.02,,12.5,,1295.47,1.67,71.93,-0.12,,7.35,-0.55,14.77,0.94,1233.5,780.25,12.3,38.7,46.1,289.82,0.71,0.59,7,40.0,28.5,2.0,10.0,80.5,STRONG BUY ⭐⭐⭐⭐⭐,Revenue CAGR 25% | Profit CAGR 28% | ROE 34% | ROCE 44% | ROCE trend rising ↑ | Nearly debt-free,High PE 51 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,103,,2026-07-15,2026-06-01,44,0.0,6,0.0
NATIONALUM,National Aluminium Company Limited,Basic Materials,Aluminum,65173.0,Large-Cap,MonthlyDoubleBottom,Forming,0.971,11,Sep 11mo | Mid rally 98% | Asymmetry 1%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,1,Uptrend,Uptrend,398.95,109.96,55.48,339.11,1292.92,1396.93,3279.32,2059.1,250.2,87.1,10.61,9.57,3.02,0.18,7.12,225.0,5.73,403.67,12,hold,29.4,39.6,4.8,44.0,4.69,32.49,18.2,6.28,7.77,14.78,10.04,59.26,34.87,-16.7,0.15,highly inconsistent earnings,0.0,,3.6,,3402.6,5.22,51.28,0.0,,21.99,-0.28,11.22,0.47,445.15,179.93,10.4,121.7,124.1,428.71,0.39,0.61,6,40.0,20.65,12.0,7.0,79.6,BUY ⭐⭐⭐⭐,Expected ~87% CAGR (2yr) | Profit CAGR 59% | ROE 29% | ROCE 40% | ROCE trend rising ↑ | Nearly debt-free,Earnings due 2026-07-30 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,326,2026-07-30,2026-07-15,2026-06-01,44,0.0,6,-3.0
SANGHVIMOV,Sanghvi Movers Limited,Industrials,Rental & Leasing Services,3976.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=354 | 30-EMA=332 | Above by 28.8% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Tight-Above-MAs,True,Stage2,4,Uptrend,Uptrend,427.9,332.19,209.13,363.71,1323.29,2449.81,4535.34,2449.81,472.5,139.3,21.55,,3.03,0.25,11.08,43.0,58.74,,0,none,15.5,16.7,2.0,37.0,-0.3,17.22,8.16,36.83,47.27,,17.2,85.13,,27.8,0.15,highly inconsistent earnings,0.51,,1.77,,-221.36,-5.57,47.25,0.0,,1.48,0.02,1.3,-0.1,473.0,223.8,9.5,91.2,32.71,-8.16,0.35,0.96,5,29.0,28.5,12.0,10.0,79.5,BUY ⭐⭐⭐⭐,Expected ~139% CAGR (2yr) | Revenue CAGR 47% | Profit CAGR 85% | ROCE trend rising ↑ | OPM 37% | Piotroski F=5 (above average quality),None identified,2-3 years,Medium,"yfinance, screener.in",100,235,,2026-07-15,2026-06-01,44,33.6,6,13.1
KIRLPNU,Kirloskar Pneumatic Company Limited,Industrials,Specialty Industrial Machinery,11587.0,Mid-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=1275 | 30-EMA=1142 | Above by 38.5% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Tight-Above-MAs,True,Stage2,4,Uptrend,Uptrend,1581.5,1141.5,988.59,1344.27,3040.56,5137.84,17755.25,7347.51,224.9,80.2,45.25,33.91,9.28,0.32,31.29,67.0,58.74,1823.33,3,strong_buy,22.6,29.6,-3.09,20.0,1.6,14.34,11.95,8.96,59.43,27.14,20.38,141.65,38.97,79.8,0.15,highly inconsistent earnings,0.0,,2.65,,115.04,0.99,38.81,-0.01,,9.56,2.83,26.53,-1.71,2197.1,990.1,28.0,59.7,20.18,125.03,1.01,0.53,6,36.0,28.5,9.0,5.0,78.5,BUY ⭐⭐⭐⭐,Expected ~80% CAGR (2yr) | Revenue CAGR 59% | Profit CAGR 142% | ROE 23% | ROCE 30% | Nearly debt-free,None identified,1-3 years,Low-Medium,"yfinance, screener.in",100,38,,2026-07-15,2026-06-01,44,0.0,6,2.0
