Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,155828.0,Large-Cap,MonthlyDoubleBottom,Forming,0.524,17,Sep 17mo | Mid rally 59% | Asymmetry 7%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,4,Uptrend,Uptrend,5621.5,1036.81,631.02,4778.27,3825.56,5126.36,5916.39,4757.47,,,65.79,47.24,18.39,2.7,48.82,117.0,-7.17,5679.7,23,hold,30.2,39.5,4.8,21.0,1.63,19.45,16.96,16.86,16.04,22.73,18.1,24.36,30.05,22.7,0.75,consistent growth,0.0,,3.32,,1341.12,0.86,51.0,0.0,,20.77,1.35,19.43,-1.17,6100.0,3212.2,7.8,75.0,64.95,177.49,0.38,0.56,7,40.0,21.79,0.0,8.0,69.8,ACCUMULATE ⭐⭐⭐,Revenue CAGR 16% | Profit CAGR 24% | ROE 30% | ROCE 40% | ROCE trend rising ↑ | Nearly debt-free,High PE 66 | Earnings due 2026-08-06 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,288,2026-08-06,2026-06-15,2026-06-01,14,7.0,2,1.0
BBTC,The Bombay Burmah Trading Corporation Limited,Consumer Defensive,Packaged Foods,10597.0,Mid-Cap,MonthlyDoubleBottom,Forming,1.0,27,Sep 27mo | Mid rally 129% | Asymmetry 6%,,Sideways,False,False,Below-MAs,True,Stage2,15,Uptrend,Uptrend,1518.8,2919.66,1235.21,1290.98,15002.68,21849.91,31822.21,21849.91,1338.6,279.3,8.52,4.07,1.5,0.19,3.26,224.0,141.97,,0,none,19.1,33.0,3.43,18.0,1.0,6.26,15.63,6.78,5.54,7.84,13.64,45.64,14.32,43.8,0.15,highly inconsistent earnings,0.17,,1.19,,2049.95,19.34,74.04,0.0,,9.48,0.06,1.46,0.04,2135.0,1314.6,28.9,15.5,-14.53,17.4,0.19,0.62,5,37.0,19.5,13.0,0.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~279% CAGR (2yr) | Profit CAGR 46% | ROCE 33% | ROCE trend rising ↑ | Low D/E 0.17 | Promoter 74% holding,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,288,,2026-06-15,2026-06-01,14,-0.7,2,0.0
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,151018.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,42,Sep 42mo | Mid rally 191% | Asymmetry 3%,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,131.49,65.07,21.99,111.77,236.85,251.31,430.07,319.16,91.1,38.2,39.18,21.97,4.09,1.13,13.84,35.0,-6.87,149.55,22,none,10.9,13.1,1.83,9.0,0.34,3.09,4.16,10.95,16.97,17.06,-1.45,34.75,21.1,42.5,0.15,highly inconsistent earnings,0.44,,1.06,,3768.69,2.5,48.6,0.0,,12.45,0.7,21.08,-0.49,151.77,89.7,13.4,46.6,35.8,112.19,0.55,1.02,6,24.0,28.5,9.0,8.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~38% CAGR (2yr) | Revenue CAGR 17% | Profit CAGR 35% | ROCE trend rising ↑ | Piotroski F=6 (above average quality) | FII buying +0.7% ↑,Earnings due 2026-08-13 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,287,2026-08-13,2026-06-15,2026-06-01,14,0.0,2,-2.0
AVANTIFEED,Avanti Feeds Limited,Consumer Defensive,Packaged Foods,14443.0,Mid-Cap,MonthlyDoubleBottom,Forming,1.0,7,Sep 7mo | Mid rally 196% | Asymmetry 8%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,15,Uptrend,Uptrend,1060.1,715.67,232.83,901.08,2795.06,3582.71,4592.32,3582.71,238.0,83.8,23.87,17.91,4.39,0.85,17.6,85.0,12.92,1362.0,1,none,20.2,25.9,0.83,12.0,0.6,9.99,10.79,8.09,6.04,8.14,17.95,28.18,10.6,-17.6,0.15,highly inconsistent earnings,0.0,,5.58,,392.42,2.72,43.23,0.0,,7.63,-0.35,6.82,2.66,1593.8,614.25,33.5,72.6,62.39,150.58,0.31,0.04,6,32.0,21.0,10.0,6.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~84% CAGR (2yr) | Profit CAGR 28% | ROE 20% | ROCE 26% | ROCE trend rising ↑ | Nearly debt-free,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,198,,2026-06-15,2026-06-01,14,-16.4,2,3.0
BSE,BSE Limited,Financial Services,Financial Data & Stock Exchanges,164121.0,Large-Cap,None,,0.0,0,,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,12,Uptrend,Uptrend,4041.1,,,3434.93,2983.43,5790.59,15700.11,6843.99,43.3,19.7,67.12,40.36,20.87,0.52,38.34,25.0,19.43,4210.5,14,none,44.8,58.0,10.2,64.0,6.26,48.73,20.81,50.5,73.54,50.31,88.12,129.4,77.29,62.9,0.15,highly inconsistent earnings,0.0,,1.53,,5136.78,3.13,,,,19.42,1.97,25.09,1.35,4446.8,2021.5,9.1,99.9,71.1,1413.46,,0.27,6,40.0,15.0,6.0,8.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~20% CAGR (2yr) | Revenue CAGR 74% | Profit CAGR 129% | ROE 45% | ROCE 58% | ROCE trend rising ↑,High PE 67,2-3 years,Medium,"yfinance, screener.in",90,113,,2026-06-15,2026-06-01,14,-3.6,2,0.0
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,99298.0,Large-Cap,MonthlyCupHandle,Forming,0.831,21,Cup 21mo | Depth 36% | Prior gain 66% | R²=0.98,MonthlyCupHandle+MonthlyDoubleBottom,Downtrend,False,False,Below-MAs,False,Stage2,3,Uptrend,Uptrend,4962.6,6106.48,3934.36,4218.21,17764.42,15941.21,28787.75,22614.1,221.2,79.2,17.3,15.56,4.59,0.63,12.39,302.0,3.23,5931.89,35,buy,28.5,35.8,2.91,15.0,0.6,12.11,12.51,15.85,11.55,8.9,31.99,27.3,14.49,25.7,0.15,highly inconsistent earnings,0.04,,1.91,,6278.06,6.32,34.73,0.0,,31.15,1.72,24.69,-1.59,6388.5,4190.0,22.3,18.4,25.16,51.48,0.44,0.5,7,38.0,13.97,12.0,5.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~79% CAGR (2yr) | Profit CAGR 27% | ROE 28% | ROCE 36% | ROCE trend rising ↑ | Nearly debt-free,Earnings due 2026-08-05 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,288,2026-08-05,2026-06-15,2026-06-01,14,-0.9,2,-0.2
PIGL,Power & Instrumental (Gujarat) Limited,Industrials,Engineering & Construction,221.0,Micro-Cap,MonthlyDoubleBottom,Forming,1.0,18,Sep 18mo | Mid rally 153% | Asymmetry 4%,,Downtrend,False,False,Below-MAs,False,Stage2,4,Uptrend,Uptrend,103.97,92.78,35.99,88.37,252.49,392.26,609.42,392.26,277.3,94.2,23.03,,1.18,0.42,8.74,19.0,0.0,,0,none,11.0,15.5,1.2,10.0,0.8,6.59,6.86,29.59,32.57,,25.0,55.36,,29.5,0.4,lumpy earner,0.08,,2.44,,32.42,14.65,50.7,4.41,,0.01,0.01,0.75,0.75,189.7,88.05,45.2,18.1,-16.67,127.82,0.61,0.46,5,40.0,16.0,13.0,0.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~94% CAGR (2yr) | Revenue CAGR 33% | Profit CAGR 55% | ROCE trend rising ↑ | Nearly debt-free | Promoter 51% holding,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,97,,2026-06-15,2026-06-01,14,0.0,2,9.0
SOLARINDS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,155127.0,Large-Cap,MonthlyCupHandle,Forming,0.872,12,Cup 12mo | Depth 23% | Prior gain 32% | R²=0.98,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,True,Tight-Above-MAs,True,Stage2,1,Uptrend,Uptrend,17409.0,17879.67,13845.0,14797.65,5234.73,21914.34,8697.61,6747.56,25.9,12.2,92.59,51.46,24.71,3.2,59.63,6.0,10.06,20131.92,12,none,31.5,36.8,3.57,27.0,1.83,17.05,15.45,30.48,12.45,31.35,34.86,28.9,43.25,70.0,0.4,lumpy earner,0.23,,2.06,,-1315.16,-0.85,73.15,0.0,,6.59,-0.15,12.89,-0.02,18874.0,11646.0,7.8,49.5,27.12,339.09,0.47,0.2,6,36.0,25.96,1.0,6.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~12% CAGR (2yr) | Profit CAGR 29% | ROE 32% | ROCE 37% | ROCE trend rising ↑ | Low D/E 0.23,High PE 93 | Earnings due 2026-08-06 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,243,2026-08-06,2026-06-15,2026-06-01,14,-3.9,2,5.4
RADICO,Radico Khaitan Limited,Consumer Defensive,Beverages - Wineries & Distilleries,47434.0,Large-Cap,MonthlyDoubleBottom,Forming,0.7,13,Sep 13mo | Mid rally 71% | Asymmetry 1%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,15,Uptrend,Uptrend,3599.9,146.19,85.13,3059.91,3521.52,4516.2,6904.15,4930.83,25.5,12.0,78.74,49.06,14.29,1.97,40.28,15.0,10.06,3894.25,20,strong_buy,20.3,24.2,0.89,17.0,0.03,8.84,,24.92,24.53,20.57,74.57,40.02,16.87,62.3,0.15,highly inconsistent earnings,0.21,,,,,,40.2,-0.01,,17.63,-2.19,27.35,3.32,3679.0,2500.0,2.2,44.0,45.46,176.84,0.78,0.24,3,32.0,23.9,3.0,10.0,68.9,ACCUMULATE ⭐⭐⭐,Expected ~12% CAGR (2yr) | Revenue CAGR 25% | Profit CAGR 40% | ROE 20% | ROCE 24% | ROCE trend rising ↑,High PE 79 | Earnings due 2026-07-30 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",80,276,2026-07-30,2026-06-15,2026-06-01,14,0.0,2,0.0
DRCSYSTEMS,DRC Systems India Limited,Technology,Information Technology Services,204.0,Micro-Cap,MonthlyDoubleBottom,Forming,1.0,32,Sep 32mo | Mid rally 201% | Asymmetry 2%,,Downtrend,False,False,Below-MAs,False,Downtrend,0,Uptrend,Uptrend,14.17,34.9,11.5,12.04,65.62,91.53,127.67,91.53,545.9,154.2,10.12,,1.81,0.26,7.16,0.0,,,0,none,22.6,25.2,-1.8,28.0,4.1,20.17,10.52,47.69,54.56,,26.67,39.49,,17.0,0.15,highly inconsistent earnings,0.0,,0.48,,38.65,18.93,20.63,0.0,,0.0,0.0,0.35,0.0,23.68,11.5,40.2,23.2,-16.17,-12.64,0.16,0.54,5,40.0,15.5,13.0,0.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~154% CAGR (2yr) | Revenue CAGR 55% | Profit CAGR 39% | ROE 23% | ROCE 25% | Nearly debt-free,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,64,,2026-06-15,2026-06-01,14,-10.4,2,0.0
