Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
GPTINFRA,GPT Infraprojects Limited,Industrials,Engineering & Construction,1460.0,Small-Cap,MonthlyStage2,Stage Change,0.849,24,10-EMA=113 | 30-EMA=104 | Above by 12.7% | MA turning=Yes,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,4,Uptrend,Uptrend,117.21,103.97,89.91,99.63,415.93,615.03,909.45,615.03,424.7,129.1,15.0,,2.67,0.31,9.55,346.0,0.0,,0,none,17.3,21.3,1.91,14.0,-0.06,7.54,8.18,8.59,16.83,16.2,31.08,47.87,37.14,31.5,0.4,lumpy earner,0.5,,1.59,,-24.47,-1.68,69.37,0.0,,2.72,0.14,7.03,-0.07,145.0,96.22,19.2,21.8,0.83,278.17,0.52,-0.07,5,29.0,26.69,12.0,2.0,69.7,ACCUMULATE ⭐⭐⭐,Expected ~129% CAGR (2yr) | Revenue CAGR 17% | Profit CAGR 48% | ROCE 21% | ROCE trend rising ↑ | Promoter 69% holding,None identified,2-3 years,Medium,"yfinance, screener.in",100,119,,2026-06-01,2026-06-01,0,,1,
BBTC,The Bombay Burmah Trading Corporation Limited,Consumer Defensive,Packaged Foods,10477.0,Mid-Cap,MonthlyDoubleBottom,Forming,1.0,27,Sep 27mo | Mid rally 129% | Asymmetry 6%,,Sideways,False,False,Below-MAs,True,Stage2,15,Uptrend,Uptrend,1529.0,2919.66,1235.21,1299.65,15270.44,22239.87,32390.14,22239.87,1354.5,281.4,8.43,4.02,1.49,0.18,3.23,226.0,141.97,,0,none,19.1,33.0,3.43,18.0,1.0,6.26,15.63,6.78,5.54,7.84,13.64,45.64,14.32,43.8,0.15,highly inconsistent earnings,0.17,,1.19,,2049.95,19.57,74.04,0.0,,9.48,0.06,1.46,0.04,2155.0,1314.6,29.0,16.3,-15.66,30.67,0.4,0.66,5,37.0,19.5,13.0,0.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~281% CAGR (2yr) | Profit CAGR 46% | ROCE 33% | ROCE trend rising ↑ | Low D/E 0.17 | Promoter 74% holding,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,287,,2026-06-01,2026-06-01,0,,1,
ENGINERSIN,Engineers India Limited,Industrials,Engineering & Construction,13023.0,Mid-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=212 | 30-EMA=189 | Above by 29.8% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Uptrend,True,Stage2,4,Uptrend,Uptrend,245.0,188.74,145.07,208.25,589.91,553.85,936.39,743.22,126.1,50.4,18.84,15.05,4.8,0.72,13.76,129.0,-20.63,269.8,5,strong_buy,23.8,30.6,0.8,18.0,1.43,19.34,,27.2,5.66,4.55,19.31,25.99,22.68,219.3,0.15,highly inconsistent earnings,0.01,,,,,,51.32,0.0,,9.66,1.92,12.19,-1.19,267.0,163.55,8.2,49.8,11.49,101.95,0.52,1.03,2,29.0,26.5,10.0,4.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~50% CAGR (2yr) | Profit CAGR 26% | ROE 24% | ROCE 31% | ROCE trend rising ↑ | Nearly debt-free,None identified,2-3 years,Medium,"yfinance, screener.in",80,345,,2026-06-01,2026-06-01,0,,1,
MODISONLTD,Modison Limited,Industrials,Electrical Equipment & Parts,924.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=151 | 30-EMA=138 | Above by 25.6% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Sideways-Above-MA,True,True,Constructive,True,Stage2,4,Uptrend,Uptrend,173.03,137.71,115.84,147.08,918.85,1726.71,3244.82,1726.71,897.9,215.9,12.74,,4.08,0.14,40.68,176.0,81.71,,0,none,32.0,30.9,1.71,17.0,0.46,6.91,,44.9,28.45,19.45,192.0,87.92,27.11,277.7,0.15,highly inconsistent earnings,0.64,,,,,,52.16,0.05,,0.48,0.0,0.0,0.0,300.95,114.0,42.5,51.8,11.69,138.98,0.61,,3,36.0,22.5,7.0,4.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~216% CAGR (2yr) | Revenue CAGR 28% | Profit CAGR 88% | ROE 32% | ROCE 31% | ROCE trend rising ↑,None identified,2-3 years,Medium,"yfinance, screener.in",80,61,,2026-06-01,2026-06-01,0,,1,
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,98106.0,Large-Cap,MonthlyCupHandle,Forming,0.849,19,Cup 19mo | Depth 36% | Prior gain 28% | R²=1.00,MonthlyCupHandle+MonthlyDoubleBottom,Downtrend,False,False,Below-MAs,False,Stage2,3,Uptrend,Uptrend,5007.5,6106.48,3934.36,4256.38,18142.41,16229.92,29400.29,23095.28,224.1,80.0,17.09,15.38,4.54,0.63,12.22,377.0,3.23,5931.89,35,buy,28.5,35.8,2.91,15.0,0.6,12.11,12.51,15.85,11.55,8.9,31.99,27.3,14.49,25.7,0.15,highly inconsistent earnings,0.04,,1.91,,6278.06,6.4,34.73,0.0,,31.15,1.72,24.69,-1.59,6388.5,4158.1,21.6,20.4,29.75,66.95,0.67,0.56,7,38.0,14.19,12.0,5.0,69.2,ACCUMULATE ⭐⭐⭐,Expected ~80% CAGR (2yr) | Profit CAGR 27% | ROE 28% | ROCE 36% | ROCE trend rising ↑ | Nearly debt-free,Earnings due 2026-08-05 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,287,2026-08-05,2026-06-01,2026-06-01,0,,1,
BSE,BSE Limited,Financial Services,Financial Data & Stock Exchanges,168385.0,Large-Cap,None,,0.0,0,,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,12,Uptrend,Uptrend,4190.8,,,3562.18,2657.99,5342.66,13987.5,6097.43,27.5,12.9,78.13,41.4,21.42,0.6,39.38,24.0,19.43,4210.5,14,buy,44.8,58.0,10.2,64.0,6.26,48.73,20.81,50.5,73.54,50.31,88.12,129.4,77.29,62.9,0.15,highly inconsistent earnings,0.0,,1.53,,5136.78,3.05,,,,19.42,1.97,25.09,1.35,4446.8,2021.5,5.8,107.3,58.73,1991.09,,0.3,6,40.0,15.0,6.0,8.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~13% CAGR (2yr) | Revenue CAGR 74% | Profit CAGR 129% | ROE 45% | ROCE 58% | ROCE trend rising ↑,High PE 78,2-3 years,Medium,"yfinance, screener.in",90,112,,2026-06-01,2026-06-01,0,,1,
INDOTHAI,Indo Thai Securities Limited,Financial Services,Capital Markets,2921.0,Small-Cap,MonthlyDoubleBottom,Forming,0.878,30,Sep 30mo | Mid rally 95% | Asymmetry 7%,,Downtrend,False,False,Below-MAs,False,Stage2,12,Uptrend,Uptrend,268.5,47.7,23.57,228.22,252.45,473.55,888.28,473.55,76.4,32.8,43.09,,10.27,0.49,,7.0,0.0,,0,none,28.6,34.6,0.66,83.0,4.43,65.09,21.98,285.19,135.13,36.43,725.0,87.58,48.96,,0.15,highly inconsistent earnings,0.08,,1.95,,,,56.5,-0.27,,1.22,-0.06,0.49,0.3,466.35,143.65,42.4,86.9,56.62,931.82,0.75,1.53,5,40.0,15.04,8.0,6.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~33% CAGR (2yr) | Revenue CAGR 135% | Profit CAGR 88% | ROE 29% | ROCE 35% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",90,175,,2026-06-01,2026-06-01,0,,1,
RADICO,Radico Khaitan Limited,Consumer Defensive,Beverages - Wineries & Distilleries,47125.0,Large-Cap,MonthlyDoubleBottom,Forming,0.7,13,Sep 13mo | Mid rally 71% | Asymmetry 1%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,15,Uptrend,Uptrend,3599.9,146.19,85.13,3059.91,3549.36,4537.59,6958.74,4969.82,26.0,12.3,78.12,48.74,14.2,1.95,40.28,15.0,10.06,3889.25,20,strong_buy,20.3,24.2,0.89,17.0,0.03,8.84,,24.92,24.53,20.57,74.57,40.02,16.87,62.3,0.15,highly inconsistent earnings,0.21,,,,,,40.2,-0.01,,17.63,-2.19,27.35,3.32,3679.0,2500.0,2.2,44.0,45.19,176.47,0.78,0.24,3,32.0,23.9,3.0,10.0,68.9,ACCUMULATE ⭐⭐⭐,Expected ~12% CAGR (2yr) | Revenue CAGR 25% | Profit CAGR 40% | ROE 20% | ROCE 24% | ROCE trend rising ↑,High PE 78 | Earnings due 2026-07-30 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",80,276,2026-07-30,2026-06-01,2026-06-01,0,,1,
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,163021.0,Large-Cap,MonthlyDoubleBottom,Forming,0.524,17,Sep 17mo | Mid rally 59% | Asymmetry 7%,,Uptrend,True,False,Uptrend,True,Stage2,4,Uptrend,Uptrend,5254.0,1036.81,631.02,4465.9,3410.5,4471.7,5274.48,4241.3,,,68.97,50.68,20.65,2.83,51.13,112.0,-7.17,4817.3,23,buy,30.2,39.5,4.8,21.0,1.63,19.45,16.96,16.86,16.04,22.73,18.1,24.36,30.05,22.7,0.75,consistent growth,0.0,,3.32,,1341.12,0.82,51.0,0.0,,20.77,1.35,19.43,-1.17,6100.0,3212.2,13.9,63.6,64.17,158.15,0.38,0.53,7,40.0,19.79,-1.0,10.0,68.8,ACCUMULATE ⭐⭐⭐,Revenue CAGR 16% | Profit CAGR 24% | ROE 30% | ROCE 40% | ROCE trend rising ↑ | Nearly debt-free,High PE 69 | Earnings due 2026-08-06 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,287,2026-08-06,2026-06-01,2026-06-01,0,,1,
ASHAPURMIN,Ashapura Minechem Limited,Basic Materials,Other Industrial Metals & Mining,7064.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,13,Sep 13mo | Mid rally 127% | Asymmetry 0%,,Sideways-Above-MA,True,True,Constructive,True,Stage2,1,Uptrend,Uptrend,638.2,41.64,18.35,542.47,1219.8,1900.45,2960.9,1900.45,197.8,72.6,17.61,,4.95,0.32,13.66,15.0,25.99,,0,none,28.0,20.7,1.34,11.0,0.51,9.86,,91.2,41.95,35.47,43.94,55.8,36.75,-20.1,0.15,highly inconsistent earnings,0.86,,,,,,48.03,0.15,,19.5,0.25,0.33,-0.05,924.9,366.1,31.0,74.3,57.13,381.84,0.54,0.6,3,32.0,21.5,8.0,7.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~73% CAGR (2yr) | Revenue CAGR 42% | Profit CAGR 56% | ROE 28% | ROCE 21% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",80,365,,2026-06-01,2026-06-01,0,,1,
