Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
BBTC,The Bombay Burmah Trading Corporation Limited,Consumer Defensive,Packaged Foods,10801.0,Mid-Cap,MonthlyDoubleBottom,Forming,1.0,27,Sep 27mo | Mid rally 129% | Asymmetry 6%,,Sideways,False,False,Below-MAs,True,Stage2,15,Uptrend,Stage2-Bull,1556.7,2919.66,1235.21,1323.19,15081.07,21964.08,31988.48,21964.08,1310.9,275.6,8.69,4.14,1.53,0.19,3.33,218.0,141.97,,0,none,19.1,33.0,3.34,18.0,1.0,6.26,15.63,6.78,5.54,7.84,13.64,45.64,14.32,43.8,0.15,highly inconsistent earnings,0.17,,1.19,,2049.95,18.98,74.04,0.0,,9.48,0.06,1.46,0.04,2135.0,1314.6,27.1,18.4,-9.74,33.15,0.04,0.62,5,37.0,19.5,13.0,0.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~276% CAGR (2yr) | Profit CAGR 46% | ROCE 33% | ROCE trend rising ↑ | Low D/E 0.17 | Promoter 74% holding,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,289,,2026-07-04,2026-06-01,33,1.8,5,0.0
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,98220.0,Large-Cap,MonthlyCupHandle,Forming,0.831,21,Cup 21mo | Depth 36% | Prior gain 66% | R²=0.98,MonthlyCupHandle+MonthlyDoubleBottom,Downtrend,False,False,Below-MAs,False,Stage2,3,Uptrend,Stage2-Bull,4962.6,6106.48,3934.36,4218.21,17963.86,16082.52,29110.96,22868.0,224.1,80.0,17.11,15.46,4.54,0.63,12.2,306.0,3.23,5904.29,34,buy,28.5,35.8,2.91,15.0,0.6,12.11,12.51,15.85,11.55,8.9,31.99,27.3,14.49,25.7,0.15,highly inconsistent earnings,0.04,,1.91,,6278.06,6.39,34.73,0.0,,31.15,1.72,24.69,-1.59,6388.5,4190.0,22.3,18.4,24.18,50.25,0.44,0.5,7,38.0,13.97,12.0,5.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~80% CAGR (2yr) | Profit CAGR 27% | ROE 28% | ROCE 36% | ROCE trend rising ↑ | Nearly debt-free,Earnings due 2026-08-05 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,288,2026-08-05,2026-07-04,2026-06-01,33,-0.9,5,-0.2
INDOTHAI,Indo Thai Securities Limited,Financial Services,Capital Markets,2960.0,Small-Cap,MonthlyDoubleBottom,Forming,0.878,30,Sep 30mo | Mid rally 95% | Asymmetry 7%,,Downtrend,False,False,Below-MAs,False,Stage2,12,Uptrend,Stage2-Bull,268.5,47.7,23.57,228.22,249.61,468.22,878.29,468.22,74.4,32.1,43.58,,10.4,0.5,,7.0,0.0,,0,none,28.6,34.6,0.66,83.0,4.43,65.09,21.98,285.19,135.13,36.43,725.0,87.58,48.96,,0.15,highly inconsistent earnings,0.08,,1.95,,,,56.5,-0.27,,1.22,-0.06,0.49,0.3,466.35,143.65,42.4,86.9,56.9,932.19,0.75,1.3,5,40.0,15.04,8.0,6.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~32% CAGR (2yr) | Revenue CAGR 135% | Profit CAGR 88% | ROE 29% | ROCE 35% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",90,175,,2026-07-04,2026-06-01,33,0.0,5,0.0
SOLARINDS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,157733.0,Large-Cap,MonthlyCupHandle,Forming,0.872,12,Cup 12mo | Depth 23% | Prior gain 32% | R²=0.98,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,True,Tight-Above-MAs,True,Stage2,1,Uptrend,Stage2-Bull,17409.0,17879.67,13845.0,14797.65,5137.11,21914.34,8535.42,6621.74,25.9,12.2,94.35,52.33,25.13,3.26,60.61,6.0,10.06,20131.92,12,none,31.5,36.8,3.57,27.0,1.83,17.05,15.45,30.48,12.45,31.35,34.86,28.9,43.25,70.0,0.4,lumpy earner,0.23,,2.06,,-1315.16,-0.83,73.15,0.0,,6.59,-0.15,12.89,-0.02,18874.0,11646.0,7.8,49.5,26.14,337.86,0.47,0.2,6,36.0,25.96,1.0,6.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~12% CAGR (2yr) | Profit CAGR 29% | ROE 32% | ROCE 37% | ROCE trend rising ↑ | Low D/E 0.23,High PE 94 | Earnings due 2026-08-06 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,243,2026-08-06,2026-07-04,2026-06-01,33,-3.9,5,5.4
PIGL,Power & Instrumental (Gujarat) Limited,Industrials,Engineering & Construction,238.0,Micro-Cap,MonthlyDoubleBottom,Forming,1.0,18,Sep 18mo | Mid rally 153% | Asymmetry 4%,,Downtrend,False,False,Below-MAs,False,Stage2,4,Uptrend,Stage2-Bull,103.97,92.78,35.99,88.37,234.46,364.26,565.91,364.26,250.4,87.2,24.8,,1.27,0.45,9.34,18.0,0.0,,0,none,11.0,15.5,1.2,10.0,0.8,6.59,6.86,29.59,32.57,,25.0,55.36,,29.5,0.4,lumpy earner,0.08,,2.44,,32.42,13.6,50.7,4.41,,0.01,0.01,0.75,0.75,189.7,88.05,45.2,18.1,-16.67,127.82,0.61,0.46,5,40.0,16.0,13.0,0.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~87% CAGR (2yr) | Revenue CAGR 33% | Profit CAGR 55% | ROCE trend rising ↑ | Nearly debt-free | Promoter 51% holding,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,97,,2026-07-04,2026-06-01,33,0.0,5,9.0
APCOTEXIND,Apcotex Industries Limited,Basic Materials,Specialty Chemicals,2664.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=432 | 30-EMA=407 | Above by 29.2% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Uptrend,True,Stage2,1,Uptrend,Stage2-Bull,525.55,406.84,300.82,446.72,895.66,1857.61,3852.67,1857.61,253.5,88.0,26.29,18.35,4.29,0.24,15.11,156.0,13.3,700.0,1,none,24.4,19.8,,10.0,-1.0,7.03,8.2,23.21,,,-2.56,,,107.3,0.15,highly inconsistent earnings,0.15,,1.66,,108.11,4.06,58.23,0.0,,0.64,0.02,2.23,0.0,579.0,310.45,9.2,69.3,36.91,-23.55,0.17,0.24,5,27.0,26.5,7.0,8.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~88% CAGR (2yr) | Profit CAGR 107% | ROE 24% | Low D/E 0.15 | Promoter 58% holding | Margin compressing ↓ ⚠️,Margin compression ↓,2-3 years,Medium,"yfinance, screener.in",80,288,,2026-07-04,2026-06-01,33,3.4,5,-5.5
STYLAMIND,Stylam Industries Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5529.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=2204 | 30-EMA=1924 | Above by 44.1% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Tight-Above-MAs,True,Stage2,3,Uptrend,Stage2-Bull,2773.0,1924.22,1576.4,2357.05,3742.69,3770.77,5039.63,4343.01,36.0,16.6,36.99,24.52,6.91,2.31,25.62,0.0,,2912.4,5,none,20.5,27.0,0.66,20.0,0.29,13.27,14.22,10.15,5.85,18.85,22.95,16.04,22.22,29.3,0.15,highly inconsistent earnings,0.04,,3.48,,-39.14,-0.71,54.1,1.91,,2.81,0.77,13.31,0.07,3357.3,1594.1,17.4,74.0,76.96,52.25,1.03,0.11,5,27.0,28.5,3.0,10.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~17% CAGR (2yr) | ROE 20% | ROCE 27% | ROCE trend rising ↑ | Nearly debt-free | Promoter 54% holding,None identified,2-3 years,Medium,"yfinance, screener.in",100,58,,2026-07-04,2026-06-01,33,0.0,5,-2.0
DRCSYSTEMS,DRC Systems India Limited,Technology,Information Technology Services,206.0,Micro-Cap,MonthlyDoubleBottom,Forming,1.0,32,Sep 32mo | Mid rally 201% | Asymmetry 2%,,Downtrend,False,False,Below-MAs,False,Downtrend,0,Uptrend,Stage2-Bull,14.18,34.9,11.5,12.05,65.11,90.82,126.69,90.82,540.5,153.1,10.21,,1.83,0.26,7.18,0.0,,,0,none,22.6,25.2,-1.8,28.0,4.1,20.17,10.52,47.69,54.56,,26.67,39.49,,17.0,0.15,highly inconsistent earnings,0.0,,0.48,,38.65,18.77,20.63,0.0,,0.0,0.0,0.35,0.0,23.68,11.5,40.1,23.3,-23.17,-26.08,0.09,0.54,5,40.0,15.5,13.0,0.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~153% CAGR (2yr) | Revenue CAGR 55% | Profit CAGR 39% | ROE 23% | ROCE 25% | Nearly debt-free,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,65,,2026-07-04,2026-06-01,33,-10.4,5,0.0
WEBELSOLAR,Websol Energy System Limited,Technology,Solar,4400.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=98 | 30-EMA=89 | Above by 18.0% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Sideways-Above-MA,True,False,Constructive,True,Downtrend,0,Uptrend,Stage2-Bull,105.57,89.5,55.32,89.73,596.81,1458.0,3561.9,1458.0,1281.1,271.6,14.52,,10.93,0.1,10.67,0.0,0.0,,0,none,66.9,63.2,,41.0,-3.0,28.87,31.73,82.43,,,95.48,,,157.9,0.5,insufficient history,0.21,,2.94,,-57.61,-1.31,29.72,2.01,,4.12,-1.28,0.32,0.01,157.3,50.4,32.9,109.5,-11.47,1101.29,0.58,0.25,4,35.0,21.5,12.0,0.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~272% CAGR (2yr) | Revenue CAGR 132% | Profit CAGR 144% | ROE 67% | ROCE 63% | Low D/E 0.21,Margin compression ↓,2-3 years,Medium,"yfinance, screener.in",80,229,,2026-07-04,2026-06-01,33,0.0,5,0.0
FILATEX,Filatex India Limited,Consumer Cyclical,Textile Manufacturing,2333.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,40,Sep 40mo | Mid rally 123% | Asymmetry 6%,MonthlyDoubleBottom+MonthlyStage2,Sideways-Above-MA,True,False,Constructive,True,Stage2,3,Uptrend,Stage2-Bull,55.95,77.41,33.85,47.56,366.8,531.94,771.41,531.94,850.7,208.3,12.72,3.95,2.43,0.28,4.76,62.0,35.72,,0,none,12.9,16.9,1.2,8.0,-0.11,4.33,,-2.14,29.23,26.63,36.57,45.02,47.74,16.6,1.0,steady compounder (low CV),0.1,,,,,,65.47,0.09,,4.22,-0.29,2.78,0.4,66.1,36.26,15.4,54.3,9.08,-6.47,0.21,0.04,2,32.0,22.5,12.0,2.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~208% CAGR (2yr) | Revenue CAGR 29% | Profit CAGR 45% | ROCE trend rising ↑ | Low D/E 0.10 | Promoter 65% holding,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",80,180,,2026-07-04,2026-06-01,33,32.1,5,5.0
