Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
SENCO,Senco Gold Limited,Consumer Cyclical,Luxury Goods,6273.0,Small-Cap,MonthlyStage2,Stage Change,0.525,24,10-EMA=337 | 30-EMA=349 | Above by 7.9% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Uptrend,True,Stage2,3,Uptrend,Uptrend,377.0,349.47,271.02,320.45,3185.36,3129.18,7527.93,4896.85,730.0,188.1,10.92,15.48,2.49,0.2,8.72,46.0,14.47,477.67,6,none,25.6,20.9,-0.29,11.0,0.37,6.81,9.39,33.22,27.4,25.95,261.01,53.73,56.57,151.3,0.15,highly inconsistent earnings,1.07,,1.54,,-224.74,-3.58,64.48,-0.01,,6.88,-0.72,13.54,0.93,404.85,276.0,6.9,36.6,3.47,60.82,0.93,0.5,4,30.0,20.8,16.0,3.0,69.8,ACCUMULATE ⭐⭐⭐,Expected ~188% CAGR (2yr) | Revenue CAGR 27% | Profit CAGR 54% | ROE 26% | ROCE 21% | Promoter 64% holding,High D/E 1.1,2-3 years,Medium,"yfinance, screener.in",100,37,,2026-08-01,2026-06-01,61,12.5,9,8.9
SPARC,Sun Pharma Advanced Research Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,7017.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=185 | 30-EMA=185 | Above by 43.4% | MA turning=No,MonthlyDoubleBottom+MonthlyStage2,Sideways-Above-MA,True,False,Constructive,False,Stage2,6,Uptrend,Uptrend,264.6,184.51,112.39,224.91,2861.82,3291.1,3784.76,3291.1,1143.8,252.7,4.52,3.9,5.24,,4.71,0.0,,,0,none,279.0,164.0,136.0,85.0,60.7,82.65,79.74,2509.72,98.84,,552.77,,,,0.2,multiple loss years in history,0.42,,2.47,,-886.82,-12.64,65.68,0.01,,3.9,1.86,0.09,-0.79,289.0,108.0,8.4,145.0,89.78,-22.65,0.59,0.54,5,33.0,22.5,8.0,6.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~253% CAGR (2yr) | Revenue CAGR 99% | ROE 279% | ROCE 164% | ROCE trend rising ↑ | Promoter 66% holding,None identified,2-3 years,Medium,"yfinance, screener.in",90,283,,2026-08-01,2026-06-01,61,47.2,9,-2.5
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,153282.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,42,Sep 42mo | Mid rally 191% | Asymmetry 3%,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,150.75,65.07,21.99,128.14,266.8,277.64,484.45,359.52,84.2,35.7,39.88,22.07,3.74,1.15,15.28,34.0,11.46,154.82,22,buy,11.2,13.4,1.83,10.0,0.49,3.08,4.24,10.95,17.02,17.06,-1.45,34.75,21.1,42.5,0.15,highly inconsistent earnings,0.44,,1.06,,3707.91,2.42,48.6,0.0,,12.87,0.42,20.59,-0.49,155.25,89.7,2.9,68.1,63.94,115.2,0.9,1.02,6,24.0,28.5,9.0,8.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~36% CAGR (2yr) | Revenue CAGR 17% | Profit CAGR 35% | ROCE trend rising ↑ | Piotroski F=6 (above average quality) | Dividend growing 11%/yr,Earnings due 2026-08-06 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,289,2026-08-06,2026-08-01,2026-06-01,61,14.6,9,-2.0
MAYURUNIQ,Mayur Uniquoters Limited,Consumer Cyclical,Textile Manufacturing,3427.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=646 | 30-EMA=570 | Above by 35.0% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Sideways-Above-MA,True,False,Constructive,False,Stage2,3,Uptrend,Uptrend,769.1,569.67,456.31,653.74,2447.8,2161.63,3683.42,3002.71,181.1,67.6,17.86,12.97,3.03,0.79,13.53,63.0,35.72,900.0,3,none,18.4,24.7,1.26,24.0,0.31,19.83,11.08,9.89,7.61,13.52,28.86,22.67,16.36,43.2,0.4,lumpy earner,0.01,,7.46,,-11.45,-0.33,58.77,0.0,,4.78,1.1,3.13,-0.52,907.0,471.2,15.2,63.2,49.18,13.71,0.92,0.36,5,27.0,22.5,12.0,8.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~68% CAGR (2yr) | Profit CAGR 23% | ROCE 25% | ROCE trend rising ↑ | Nearly debt-free | Promoter 59% holding,None identified,2-3 years,Medium,"yfinance, screener.in",100,167,,2026-08-01,2026-06-01,61,24.2,9,-1.0
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1362.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,37,Sep 37mo | Mid rally 368% | Asymmetry 1%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,731.7,642.47,136.69,621.95,1501.37,1902.24,2410.14,1902.24,160.0,61.2,29.86,,3.66,1.12,16.63,,100.0,,0,none,13.08,,,6.04,,4.84,6.86,16.3,,,26.7,,,26.6,0.5,insufficient history,0.02,,2.1,,73.26,5.38,75.0,0.0,,0.01,0.0,0.43,0.0,823.85,565.8,11.2,29.3,1.52,-65.37,0.8,-0.0,5,30.0,28.5,8.0,3.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~61% CAGR (2yr) | Revenue CAGR 16% | Profit CAGR 27% | Nearly debt-free | Promoter 75% holding | FCF yield 5.4%,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",70,148,,2026-08-01,2026-06-01,61,7.5,9,3.5
BORORENEW,Borosil Renewables Limited,Technology,Solar,8163.0,Mid-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=543 | 30-EMA=521 | Above by 23.0% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Sideways-Above-MA,True,False,Constructive,False,Downtrend,0,Uptrend,Uptrend,640.55,520.93,377.0,544.47,1997.77,3815.54,7287.3,3815.54,495.7,144.1,20.58,,5.39,0.23,15.18,0.0,4.0,,0,none,26.1,25.3,0.91,31.0,3.46,23.69,,3.79,5.61,16.21,229.13,90.99,24.99,,0.2,multiple loss years in history,0.11,,,,,,58.78,0.01,,6.14,1.87,2.62,0.29,721.0,374.4,11.2,71.1,17.01,20.42,0.66,0.01,2,34.0,21.5,11.0,3.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~144% CAGR (2yr) | Profit CAGR 91% | ROE 26% | ROCE 25% | ROCE trend rising ↑ | Low D/E 0.11,None identified,2-3 years,Medium,"yfinance, screener.in",80,99,,2026-08-01,2026-06-01,61,22.0,9,9.3
SOUTHWEST,South West Pinnacle Exploration Limited,Energy,Oil & Gas Equipment & Services,763.0,Small-Cap,MonthlyDoubleBottom,Forming,0.91,12,Sep 12mo | Mid rally 98% | Asymmetry 7%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,1,Uptrend,Uptrend,226.63,187.16,91.07,192.64,390.77,668.22,1142.65,668.22,194.9,71.7,17.85,,3.42,0.25,11.41,0.0,14.47,,0,none,17.7,20.0,0.97,25.0,1.26,15.11,,8.64,25.68,17.47,21.21,71.0,29.46,288.5,0.15,highly inconsistent earnings,0.39,,,,,,65.94,1.13,,0.41,-0.4,,,275.0,121.0,17.6,87.3,63.56,50.76,0.45,-0.33,3,34.0,20.42,8.0,7.0,69.4,ACCUMULATE ⭐⭐⭐,Expected ~72% CAGR (2yr) | Revenue CAGR 26% | Profit CAGR 71% | ROCE trend rising ↑ | Promoter 66% holding | Promoters buying ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",80,102,,2026-08-01,2026-06-01,61,-9.2,9,-9.0
DIXON,Dixon Technologies (India) Limited,Technology,Consumer Electronics,84186.0,Large-Cap,MonthlyStage2,Stage Change,0.895,24,10-EMA=12383 | 30-EMA=11833 | Above by 13.4% | MA turning=Yes,,Uptrend,True,True,Tight-Above-MAs,True,Downtrend,0,Uptrend,Uptrend,13421.0,11832.62,9673.0,11407.85,16366.53,23553.85,56694.73,30461.39,75.5,32.5,51.28,50.84,15.42,0.6,38.89,6.0,58.74,13192.55,29,buy,37.4,42.0,3.31,4.0,-0.14,2.94,5.13,25.77,58.85,49.94,33.33,86.12,59.35,-36.0,0.15,highly inconsistent earnings,0.18,,1.06,,912.17,1.08,28.55,-0.14,,17.87,-0.43,28.38,0.24,18471.0,9600.0,27.3,39.8,-18.65,142.87,0.75,-0.1,5,38.0,26.24,5.0,0.0,69.2,ACCUMULATE ⭐⭐⭐,Expected ~32% CAGR (2yr) | Revenue CAGR 59% | Profit CAGR 86% | ROE 37% | ROCE 42% | ROCE trend rising ↑,High PE 51 | Earnings due 2026-07-28,2-3 years,Medium,"yfinance, screener.in",100,107,2026-07-28,2026-08-01,2026-06-01,61,21.5,9,18.2
LLOYDSENGG,Lloyds Engineering Works Limited,Industrials,Specialty Industrial Machinery,12602.0,Mid-Cap,MonthlyStage2,Breaking Out,1.0,24,10-EMA=67 | 30-EMA=62 | Above by 43.6% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Tight-Above-MAs,True,Stage2,4,Uptrend,Uptrend,88.66,61.73,37.73,75.36,114.29,242.88,516.11,242.88,173.9,65.5,59.34,,7.29,0.53,62.9,29.0,80.47,,0,none,16.4,17.1,,15.0,-1.0,14.59,6.21,53.78,,,88.57,,,156.5,0.5,insufficient history,0.07,,2.77,,-383.29,-3.04,41.92,0.0,,2.44,0.47,0.24,0.06,95.1,37.4,6.8,137.1,42.11,,1.79,1.14,3,26.0,30.0,5.0,8.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~66% CAGR (2yr) | Revenue CAGR 113% | Profit CAGR 112% | Nearly debt-free | Margin compressing ↓ ⚠️ | Dividend growing 80%/yr,High PE 59 | Margin compression ↓,2-3 years,Medium,"yfinance, screener.in",80,34,,2026-08-01,2026-06-01,61,29.5,9,9.0
RADICO,Radico Khaitan Limited,Consumer Defensive,Beverages - Wineries & Distilleries,54816.0,Large-Cap,MonthlyDoubleBottom,Breakout Ready,0.7,13,Sep 13mo | Mid rally 71% | Asymmetry 1%,,Uptrend,True,True,Uptrend,True,Stage2,15,Uptrend,Uptrend,4366.6,146.19,85.13,3711.61,3699.36,4699.38,7252.81,5179.84,7.6,3.7,90.92,56.6,16.52,2.27,40.28,15.0,44.22,3978.7,20,none,20.3,24.2,0.89,17.0,0.03,8.84,,24.65,24.44,20.52,74.57,40.02,16.87,62.3,0.15,highly inconsistent earnings,0.21,,,,,,40.19,-0.01,,18.2,0.57,28.08,0.73,4193.0,2500.0,-4.1,74.7,53.98,222.33,1.28,0.24,3,34.0,24.9,0.0,10.0,68.9,ACCUMULATE ⭐⭐⭐,Expected ~4% CAGR (2yr) | Revenue CAGR 24% | Profit CAGR 40% | ROE 20% | ROCE 24% | ROCE trend rising ↑,High PE 91 | Earnings due 2026-07-28,2-3 years,Medium,"yfinance, screener.in",80,278,2026-07-28,2026-08-01,2026-06-01,61,21.3,9,0.0
