Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,160332.0,Large-Cap,MonthlyDoubleBottom,Forming,0.524,17,Sep 17mo | Mid rally 59% | Asymmetry 7%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,4,Uptrend,Uptrend,5621.5,1036.81,631.02,4778.27,3699.37,5032.2,5721.23,4600.54,,,68.03,48.61,20.31,2.79,50.27,114.0,-7.17,5679.7,23,hold,30.2,39.5,4.8,21.0,1.63,19.45,16.96,16.86,16.04,22.73,18.1,24.36,30.05,22.7,0.75,consistent growth,0.0,,3.32,,1341.12,0.84,51.0,0.0,,20.77,1.35,19.43,-1.17,6100.0,3212.2,7.8,75.0,64.95,177.49,0.38,0.56,7,40.0,21.79,0.0,8.0,69.8,ACCUMULATE ⭐⭐⭐,Revenue CAGR 16% | Profit CAGR 24% | ROE 30% | ROCE 40% | ROCE trend rising ↑ | Nearly debt-free,High PE 68 | Earnings due 2026-08-06 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,288,2026-08-06,2026-06-13,2026-06-01,12,7.0,1,1.0
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,151186.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,42,Sep 42mo | Mid rally 191% | Asymmetry 3%,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,131.49,65.07,21.99,111.77,236.59,251.1,429.59,318.8,91.0,38.2,39.22,22.0,4.1,1.13,13.85,35.0,-6.87,149.55,22,buy,10.9,13.1,1.83,9.0,0.34,3.09,4.16,10.95,16.97,17.06,-1.45,34.75,21.1,42.5,0.15,highly inconsistent earnings,0.44,,1.06,,3768.69,2.49,48.6,0.0,,12.45,0.7,21.08,-0.49,151.77,89.7,13.4,46.6,35.8,112.19,0.55,1.02,6,24.0,28.5,9.0,8.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~38% CAGR (2yr) | Revenue CAGR 17% | Profit CAGR 35% | ROCE trend rising ↑ | Piotroski F=6 (above average quality) | FII buying +0.7% ↑,Earnings due 2026-08-13 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,287,2026-08-13,2026-06-13,2026-06-01,12,0.0,1,-2.0
BBTC,The Bombay Burmah Trading Corporation Limited,Consumer Defensive,Packaged Foods,10669.0,Mid-Cap,MonthlyDoubleBottom,Forming,1.0,27,Sep 27mo | Mid rally 129% | Asymmetry 6%,,Sideways,False,False,Below-MAs,True,Stage2,15,Uptrend,Uptrend,1518.8,2919.66,1235.21,1290.98,14899.95,21700.29,31604.31,21700.29,1328.8,278.0,8.58,4.09,1.52,0.19,3.28,222.0,141.97,,0,none,19.1,33.0,3.43,18.0,1.0,6.26,15.63,6.78,5.54,7.84,13.64,45.64,14.32,43.8,0.15,highly inconsistent earnings,0.17,,1.19,,2049.95,19.21,74.04,0.0,,9.48,0.06,1.46,0.04,2155.0,1314.6,29.5,15.5,-14.53,17.4,0.19,0.62,5,37.0,19.5,13.0,0.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~278% CAGR (2yr) | Profit CAGR 46% | ROCE 33% | ROCE trend rising ↑ | Low D/E 0.17 | Promoter 74% holding,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,288,,2026-06-13,2026-06-01,12,-0.7,1,0.0
ZENTEC,Zen Technologies Limited,Industrials,Aerospace & Defense,16326.0,Mid-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=1486 | 30-EMA=1341 | Above by 16.6% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Tight-Above-MAs,True,Stage2,4,Uptrend,Uptrend,1564.5,1341.26,1043.83,1329.83,1094.85,1763.86,2922.14,1788.66,12.7,6.2,84.04,34.9,9.08,1.33,64.91,6.0,171.44,1726.67,6,buy,10.7,16.2,5.51,36.0,6.11,28.13,6.62,-29.36,46.46,65.75,-27.09,63.37,135.65,-68.8,0.15,highly inconsistent earnings,0.01,,8.86,,374.0,2.29,48.51,0.0,,5.99,0.45,10.06,2.2,2268.0,1223.0,31.0,27.9,-13.21,252.5,0.86,0.03,6,36.0,28.5,4.0,1.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~6% CAGR (2yr) | Revenue CAGR 46% | Profit CAGR 63% | ROCE trend rising ↑ | Nearly debt-free | OPM 36%,High PE 84,2-3 years,Medium,"yfinance, screener.in",100,135,,2026-06-13,2026-06-01,12,0.0,1,1.0
SANDHAR,Sandhar Technologies Limited,Consumer Cyclical,Auto Parts,4242.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,16,Sep 16mo | Mid rally 111% | Asymmetry 9%,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Uptrend,True,Stage2,3,Uptrend,Uptrend,511.45,688.52,312.62,434.73,1819.17,1829.58,3517.86,2529.74,257.7,89.1,21.32,16.29,3.44,0.55,12.18,50.0,15.87,779.33,3,strong_buy,16.2,14.4,1.14,9.0,0.09,4.09,4.87,24.92,18.59,21.09,40.14,39.06,27.96,49.8,0.4,lumpy earner,0.86,,0.94,,-142.16,-3.35,70.38,0.0,,0.77,-0.39,17.39,1.51,733.9,405.2,30.3,26.2,3.54,42.0,0.45,0.57,5,25.0,25.5,14.0,5.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~89% CAGR (2yr) | Revenue CAGR 19% | Profit CAGR 39% | ROCE trend rising ↑ | Promoter 70% holding | Piotroski F=5 (above average quality),Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,98,,2026-06-13,2026-06-01,12,0.0,1,2.0
INOXINDIA,INOX India Limited,Industrials,Specialty Industrial Machinery,14330.0,Mid-Cap,MonthlyCupHandle,Forming,0.865,23,Cup 23mo | Depth 29% | Prior gain 47% | R²=0.98,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,False,Tight-Above-MAs,True,Stage2,4,Uptrend,Uptrend,1428.9,1485.7,1055.87,1214.57,1038.31,1915.53,1458.26,1230.5,34.1,15.8,55.87,37.15,12.82,3.02,42.15,13.0,,1700.0,3,none,26.1,33.5,0.57,22.0,-0.03,16.25,10.24,21.52,18.0,21.72,14.16,18.51,21.86,14.8,0.75,consistent growth,0.07,,1.79,,-59.99,-0.42,75.0,0.0,,7.13,-0.01,7.72,0.45,1615.9,1065.0,11.6,34.2,24.08,,1.76,0.64,5,34.0,26.38,1.0,8.0,69.4,ACCUMULATE ⭐⭐⭐,Expected ~16% CAGR (2yr) | Revenue CAGR 18% | ROE 26% | ROCE 34% | ROCE trend rising ↑ | Nearly debt-free,High PE 56 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,30,,2026-06-13,2026-06-01,12,0.0,1,2.0
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,96745.0,Large-Cap,MonthlyCupHandle,Forming,0.831,21,Cup 21mo | Depth 36% | Prior gain 66% | R²=0.98,MonthlyCupHandle+MonthlyDoubleBottom,Downtrend,False,False,Below-MAs,False,Stage2,3,Uptrend,Uptrend,4962.6,6106.48,3934.36,4218.21,18225.61,16293.47,29535.13,23201.2,228.3,81.2,16.86,15.16,4.48,0.62,12.03,310.0,3.23,5931.89,35,buy,28.5,35.8,2.91,15.0,0.6,12.11,12.51,15.85,11.55,8.9,31.99,27.3,14.49,25.7,0.15,highly inconsistent earnings,0.04,,1.91,,6278.06,6.49,34.73,0.0,,31.15,1.72,24.69,-1.59,6388.5,4158.1,22.3,19.3,25.16,51.48,0.44,0.5,7,38.0,13.97,12.0,5.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~81% CAGR (2yr) | Profit CAGR 27% | ROE 28% | ROCE 36% | ROCE trend rising ↑ | Nearly debt-free,Earnings due 2026-08-05 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,288,2026-08-05,2026-06-13,2026-06-01,12,-0.9,1,-0.2
INDOTHAI,Indo Thai Securities Limited,Financial Services,Capital Markets,2854.0,Small-Cap,MonthlyDoubleBottom,Forming,0.878,30,Sep 30mo | Mid rally 95% | Asymmetry 7%,,Downtrend,False,False,Below-MAs,False,Stage2,12,Uptrend,Uptrend,268.5,47.7,23.57,228.22,257.85,483.68,907.29,483.68,80.1,34.2,42.19,,10.03,0.48,,7.0,0.0,,0,none,28.6,34.6,0.66,83.0,4.43,65.09,21.98,285.19,135.13,36.43,725.0,87.58,48.96,,0.15,highly inconsistent earnings,0.08,,1.95,,,,56.5,-0.27,,1.22,-0.06,0.49,0.3,466.35,143.65,42.4,86.9,56.9,932.19,0.75,1.3,5,40.0,15.04,8.0,6.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~34% CAGR (2yr) | Revenue CAGR 135% | Profit CAGR 88% | ROE 29% | ROCE 35% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",90,175,,2026-06-13,2026-06-01,12,0.0,1,0.0
AVANTIFEED,Avanti Feeds Limited,Consumer Defensive,Packaged Foods,15131.0,Mid-Cap,MonthlyDoubleBottom,Forming,1.0,7,Sep 7mo | Mid rally 196% | Asymmetry 8%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,15,Uptrend,Uptrend,1060.1,715.67,232.83,901.08,2667.97,3419.8,4383.51,3419.8,222.6,79.6,25.0,18.76,4.6,0.89,18.52,81.0,12.92,1362.0,1,hold,20.2,25.9,0.83,12.0,0.6,9.99,10.79,8.09,6.04,8.14,17.95,28.18,10.6,-17.6,0.15,highly inconsistent earnings,0.0,,5.58,,392.42,2.59,43.23,0.0,,7.63,-0.35,6.82,2.66,1593.8,614.25,33.5,72.6,62.39,150.58,0.31,0.04,6,32.0,21.0,10.0,6.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~80% CAGR (2yr) | Profit CAGR 28% | ROE 20% | ROCE 26% | ROCE trend rising ↑ | Nearly debt-free,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,198,,2026-06-13,2026-06-01,12,-16.4,1,3.0
CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,15454.0,Mid-Cap,MonthlyStage2,Breaking Out,1.0,24,10-EMA=1942 | 30-EMA=1758 | Above by 37.0% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Constructive,True,Stage2,5,Uptrend,Uptrend,2407.8,1758.16,1504.8,2046.63,5373.44,6443.29,7726.15,6443.29,167.6,63.6,24.15,19.01,4.4,1.21,19.15,39.0,-3.85,2505.0,2,none,20.6,24.6,-0.6,35.0,0.91,29.32,11.86,12.91,14.24,15.57,20.15,19.91,20.96,19.3,1.0,steady compounder (low CV),0.0,,6.7,,2.13,0.01,70.57,0.0,,6.15,-0.43,2.14,0.09,2395.0,1500.3,-0.5,60.5,21.3,147.71,1.68,0.22,6,30.0,27.0,7.0,5.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~64% CAGR (2yr) | ROE 21% | ROCE 25% | Nearly debt-free | Promoter 71% holding | OPM 35%,None identified,2-3 years,Medium,"yfinance, screener.in",100,145,,2026-06-13,2026-06-01,12,18.1,1,6.0
