Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
STOVEKRAFT,Stove Kraft Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2560.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=640 | 30-EMA=623 | Above by 24.4% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,774.95,623.06,453.5,658.71,3171.12,8200.82,54851.82,13188.7,958.2,225.3,60.98,30.4,5.07,0.19,15.91,45.0,20.0,719.0,3,buy,67.5,31.8,7.4,13.0,2.86,2.61,4.55,28.21,17.91,11.48,2600.0,,,317.9,0.2,multiple loss years in history,0.23,,0.97,,141.1,5.51,55.79,0.0,,1.22,0.41,7.09,-0.88,828.0,447.05,6.4,73.3,22.78,21.74,0.34,0.41,6,40.0,28.5,13.0,6.0,87.5,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~225% CAGR (2yr) | Revenue CAGR 18% | Profit CAGR 316% | ROE 68% | ROCE 32% | ROCE trend rising ↑,High PE 61,1-3 years,Low-Medium,"yfinance, screener.in",90,66,,2026-07-25,2026-06-01,54,43.4,7,8.0
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,111712.0,Large-Cap,MonthlyDoubleBottom,Forming,0.974,41,Sep 41mo | Mid rally 98% | Asymmetry 1%,,Sideways-Above-MA,True,True,Constructive,False,Stage2,6,Uptrend,Uptrend,2287.4,1234.32,618.72,1944.29,13096.93,18960.26,68465.86,29944.83,728.9,187.9,20.96,23.88,4.98,0.16,13.89,74.0,65.1,2483.41,37,buy,28.7,29.9,5.69,29.0,3.86,19.07,12.71,23.12,18.88,13.02,61.98,128.64,54.16,89.0,0.15,highly inconsistent earnings,0.29,,1.9,,3722.05,3.33,46.85,-0.04,,21.7,0.2,25.32,-0.26,2529.5,1836.8,9.6,24.5,26.48,134.47,1.09,0.18,7,40.0,22.19,13.0,8.0,83.2,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~188% CAGR (2yr) | Revenue CAGR 19% | Profit CAGR 129% | ROE 29% | ROCE 30% | ROCE trend rising ↑,Earnings due 2026-08-05 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,297,2026-08-05,2026-07-25,2026-06-01,54,0.0,7,2.0
CONSOFINVT,Consolidated Finvest & Holdings Limited,Financial Services,Capital Markets,902.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=217 | 30-EMA=198 | Above by 32.7% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Uptrend,True,Stage2,12,Uptrend,Uptrend,263.33,198.41,164.27,223.83,737.93,1365.61,2527.21,1365.61,418.6,127.7,14.26,,0.78,0.17,14.6,41.0,33.9,,0,none,33.6,34.5,,99.18,,86.77,3.22,-87.62,17.57,-0.75,1.58,85.06,53.39,-40.0,0.2,multiple loss years in history,,,190.33,,36.74,4.07,74.89,0.0,,2.58,-1.6,0.02,0.0,287.0,152.0,8.2,73.2,44.02,62.5,0.85,0.53,3,34.0,26.5,12.0,10.0,82.5,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~128% CAGR (2yr) | Revenue CAGR 18% | Profit CAGR 85% | ROE 34% | ROCE 34% | Promoter 75% holding,None identified,1-3 years,Low-Medium,"yfinance, screener.in",90,289,,2026-07-25,2026-06-01,54,13.9,7,7.0
JINDRILL,Jindal Drilling & Industries Limited,Energy,Oil & Gas Equipment & Services,1706.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,21,Sep 21mo | Mid rally 456% | Asymmetry 0%,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Constructive,True,Stage2,1,Uptrend,Uptrend,655.45,1032.12,185.38,557.13,1886.51,2444.35,3167.14,2444.35,272.9,93.1,8.1,,0.94,0.27,4.12,17.0,25.99,,0,none,12.5,15.4,2.69,35.0,3.43,21.13,4.92,20.41,24.87,20.16,-2.31,29.57,25.42,-36.6,0.15,highly inconsistent earnings,0.05,,1.58,,130.28,7.64,66.78,0.0,,0.42,-0.2,0.01,0.01,693.5,440.1,5.5,48.9,10.86,69.85,8.92,-0.34,7,40.0,25.0,14.0,3.0,82.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~93% CAGR (2yr) | Revenue CAGR 25% | Profit CAGR 30% | ROCE trend rising ↑ | Nearly debt-free | Promoter 67% holding,Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,261,,2026-07-25,2026-06-01,54,0.0,7,-1.0
NATIONALUM,National Aluminium Company Limited,Basic Materials,Aluminum,62427.0,Large-Cap,MonthlyDoubleBottom,Forming,0.971,11,Sep 11mo | Mid rally 98% | Asymmetry 1%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,1,Uptrend,Uptrend,398.95,109.96,55.48,339.11,1350.59,1452.04,3425.61,2150.95,264.0,90.8,10.16,9.16,2.89,0.17,6.77,235.0,5.73,403.67,12,hold,29.4,39.6,4.8,44.0,4.69,32.49,18.2,6.28,7.77,14.78,10.04,59.26,34.87,-16.7,0.15,highly inconsistent earnings,0.0,,3.6,,3402.6,5.45,51.28,0.0,,21.99,-0.28,11.22,0.47,445.15,179.93,10.4,121.7,124.1,428.71,0.39,0.61,6,40.0,20.65,14.0,7.0,81.6,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~91% CAGR (2yr) | Profit CAGR 59% | ROE 29% | ROCE 40% | ROCE trend rising ↑ | Nearly debt-free,Earnings due 2026-07-30 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,326,2026-07-30,2026-07-25,2026-06-01,54,0.0,7,-1.0
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,Asset Management,75852.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,36,Sep 36mo | Mid rally 133% | Asymmetry 3%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,12,Uptrend,Uptrend,1082.2,412.28,174.58,919.87,597.06,925.38,983.74,766.39,,,50.25,35.41,16.25,1.77,36.02,181.0,-1.3,1163.88,24,buy,34.5,43.8,3.06,69.0,1.11,52.14,25.06,16.12,24.59,15.56,18.9,28.36,17.59,28.8,0.15,highly inconsistent earnings,0.02,,12.5,,1295.47,1.71,71.93,-0.12,,7.35,-0.55,14.77,0.94,1233.5,780.25,12.3,38.7,46.1,289.82,0.71,0.59,7,40.0,28.5,2.0,10.0,80.5,STRONG BUY ⭐⭐⭐⭐⭐,Revenue CAGR 25% | Profit CAGR 28% | ROE 34% | ROCE 44% | ROCE trend rising ↑ | Nearly debt-free,High PE 50 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,103,,2026-07-25,2026-06-01,54,0.0,7,0.0
LUMAXTECH,Lumax Auto Technologies Limited,Consumer Cyclical,Auto Parts,9676.0,Mid-Cap,MonthlyDoubleBottom,Forming,1.0,33,Sep 33mo | Mid rally 205% | Asymmetry 2%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,3,Uptrend,Uptrend,1626.1,194.78,63.18,1382.18,3892.0,4198.17,8160.37,5635.61,158.2,60.7,34.73,22.24,7.99,0.78,16.44,39.0,16.26,2042.0,5,strong_buy,26.8,21.4,1.4,14.0,1.03,5.73,8.34,33.9,38.15,34.46,47.16,44.8,45.89,50.9,1.0,steady compounder (low CV),0.83,,1.06,,65.65,0.68,55.98,0.0,,8.38,0.38,16.81,0.29,1898.0,954.1,14.3,70.4,46.64,349.82,0.45,0.43,6,39.0,22.5,13.0,6.0,80.5,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~61% CAGR (2yr) | Revenue CAGR 38% | Profit CAGR 45% | ROE 27% | ROCE 21% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,233,,2026-07-25,2026-06-01,54,0.0,7,4.0
MCX,,Financial Services,Financial Data & Stock Exchanges,0.0,Micro-Cap,MonthlyDoubleBottom,Forming,0.968,25,Sep 25mo | Mid rally 104% | Asymmetry 7%,,Uptrend,True,False,Uptrend,True,Stage2,12,Uptrend,Uptrend,3414.7,251.5,119.52,2902.49,2908.31,4987.03,12526.93,6035.91,46.0,20.8,52.63,33.56,,0.49,37.29,22.0,19.91,3413.71,14,buy,56.3,71.4,10.17,71.0,4.26,54.82,17.92,106.83,64.83,42.56,137.86,107.54,42.71,291.1,0.15,highly inconsistent earnings,0.0,,1.31,,2811.41,,,,,29.85,3.78,50.8,-3.55,3480.0,1460.8,1.9,133.8,99.34,1033.5,0.58,0.6,6,40.0,26.12,7.0,7.0,80.1,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~21% CAGR (2yr) | Revenue CAGR 65% | Profit CAGR 108% | ROE 56% | ROCE 71% | ROCE trend rising ↑,High PE 53 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",80,171,,2026-07-25,2026-06-01,54,0.0,7,1.0
KIRLPNU,Kirloskar Pneumatic Company Limited,Industrials,Specialty Industrial Machinery,11018.0,Mid-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=1275 | 30-EMA=1142 | Above by 38.5% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Tight-Above-MAs,True,Stage2,4,Uptrend,Uptrend,1581.5,1141.5,988.59,1344.27,3192.11,5357.57,18640.22,7713.73,238.8,84.1,43.1,32.24,8.82,0.3,29.69,71.0,58.74,1823.33,3,strong_buy,22.6,29.6,-3.09,20.0,1.6,14.34,11.95,8.96,59.43,27.14,20.38,141.65,38.97,79.8,0.15,highly inconsistent earnings,0.0,,2.65,,115.04,1.04,38.81,-0.01,,9.56,2.83,26.53,-1.71,2197.1,990.1,28.0,59.7,20.18,125.03,1.01,0.53,6,37.0,28.5,9.0,5.0,79.5,BUY ⭐⭐⭐⭐,Expected ~84% CAGR (2yr) | Revenue CAGR 59% | Profit CAGR 142% | ROE 23% | ROCE 30% | Nearly debt-free,None identified,1-3 years,Low-Medium,"yfinance, screener.in",100,38,,2026-07-25,2026-06-01,54,0.0,7,3.0
SKYGOLD,Sky Gold and Diamonds Limited,Consumer Cyclical,Luxury Goods,9622.0,Mid-Cap,MonthlyDoubleBottom,Forming,0.372,13,Sep 13mo | Mid rally 40% | Asymmetry 2%,,Uptrend,True,True,Uptrend,True,Stage2,3,Uptrend,Uptrend,638.9,402.85,285.0,543.06,2741.41,4286.75,16556.24,6737.03,571.0,159.0,34.36,20.3,8.03,0.24,23.64,0.0,,611.33,3,buy,29.2,27.0,3.3,7.0,1.1,4.37,14.83,77.42,76.03,,112.03,145.75,,120.8,0.4,lumpy earner,0.72,,1.89,,137.76,1.43,51.74,0.0,,2.79,1.59,14.2,1.06,647.35,246.05,1.3,159.7,122.82,2124.37,0.6,0.15,5,40.0,17.96,10.0,10.0,78.0,BUY ⭐⭐⭐⭐,Expected ~159% CAGR (2yr) | Revenue CAGR 76% | Profit CAGR 146% | ROE 29% | ROCE 27% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,43,,2026-07-25,2026-06-01,54,39.4,7,-5.0
