Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,151850.0,Large-Cap,MonthlyDoubleBottom,Forming,0.524,17,Sep 17mo | Mid rally 59% | Asymmetry 7%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,4,Uptrend,Uptrend,5621.5,1036.81,631.02,4778.27,3926.23,5203.22,6072.08,4882.67,,,64.1,46.04,17.92,2.63,47.54,120.0,-7.17,5684.04,23,hold,30.2,39.5,4.8,21.0,1.63,19.45,16.96,16.86,16.04,22.73,18.1,24.36,30.05,22.7,0.75,consistent growth,0.0,,3.32,,1341.12,0.88,51.0,0.0,,20.77,1.35,19.43,-1.17,6100.0,3330.3,7.8,68.8,48.49,214.33,0.29,0.57,7,40.0,21.79,0.0,8.0,69.8,ACCUMULATE ⭐⭐⭐,Revenue CAGR 16% | Profit CAGR 24% | ROE 30% | ROCE 40% | ROCE trend rising ↑ | Nearly debt-free,High PE 64 | Earnings due 2026-08-06 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,289,2026-08-06,2026-07-11,2026-06-01,40,7.0,5,1.0
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,97097.0,Large-Cap,MonthlyCupHandle,Forming,0.831,21,Cup 21mo | Depth 36% | Prior gain 66% | R²=0.98,MonthlyCupHandle+MonthlyDoubleBottom,Downtrend,False,False,Below-MAs,False,Stage2,3,Uptrend,Uptrend,4962.6,6106.48,3934.36,4218.21,18163.94,16235.33,29435.19,23122.69,227.2,80.9,16.92,15.29,4.49,0.62,12.08,381.0,3.23,5904.29,34,buy,28.5,35.8,2.91,15.0,0.6,12.11,12.51,15.85,11.55,8.9,31.99,27.3,14.49,25.7,0.15,highly inconsistent earnings,0.04,,1.91,,6278.06,6.47,34.73,0.0,,31.15,1.72,24.69,-1.59,6388.5,4190.0,22.3,18.4,24.18,50.25,0.44,0.5,7,38.0,13.97,12.0,5.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~81% CAGR (2yr) | Profit CAGR 27% | ROE 28% | ROCE 36% | ROCE trend rising ↑ | Nearly debt-free,Earnings due 2026-08-05 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,288,2026-08-05,2026-07-11,2026-06-01,40,-0.9,5,-0.2
PIGL,Power & Instrumental (Gujarat) Limited,Industrials,Engineering & Construction,250.0,Micro-Cap,MonthlyDoubleBottom,Forming,1.0,18,Sep 18mo | Mid rally 153% | Asymmetry 4%,,Downtrend,False,False,Below-MAs,False,Stage2,4,Uptrend,Uptrend,103.97,92.78,35.99,88.37,223.77,347.65,540.1,347.65,234.4,82.9,25.99,,1.33,0.47,9.73,17.0,0.0,,0,none,11.0,15.5,1.2,10.0,0.8,6.59,6.86,29.59,32.57,,25.0,55.36,,29.5,0.4,lumpy earner,0.08,,2.44,,32.42,12.98,50.7,4.41,,0.01,0.01,0.75,0.75,189.7,88.05,45.2,18.1,-16.67,127.82,0.61,0.45,5,40.0,16.0,13.0,0.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~83% CAGR (2yr) | Revenue CAGR 33% | Profit CAGR 55% | ROCE trend rising ↑ | Nearly debt-free | Promoter 51% holding,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,97,,2026-07-11,2026-06-01,40,0.0,5,9.0
STYLAMIND,Stylam Industries Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5478.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=2204 | 30-EMA=1924 | Above by 44.1% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,2773.0,1924.22,1576.4,2357.05,3779.16,3796.16,5088.75,4385.34,36.9,17.0,36.63,24.29,6.85,2.28,24.87,0.0,,2912.4,5,none,20.5,27.0,0.66,20.0,0.29,13.27,14.22,10.15,5.85,18.85,22.95,16.04,22.22,29.3,0.15,highly inconsistent earnings,0.04,,3.48,,-39.14,-0.71,54.1,1.91,,2.81,0.77,13.31,0.07,3357.3,1594.1,17.4,74.0,76.96,52.25,1.03,0.09,5,27.0,28.5,3.0,10.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~17% CAGR (2yr) | ROE 20% | ROCE 27% | ROCE trend rising ↑ | Nearly debt-free | Promoter 54% holding,None identified,2-3 years,Medium,"yfinance, screener.in",100,58,,2026-07-11,2026-06-01,40,0.0,5,-2.0
DRCSYSTEMS,DRC Systems India Limited,Technology,Information Technology Services,204.0,Micro-Cap,MonthlyDoubleBottom,Forming,1.0,32,Sep 32mo | Mid rally 201% | Asymmetry 2%,,Downtrend,False,False,Below-MAs,False,Downtrend,0,Uptrend,Uptrend,13.64,34.9,11.5,11.59,63.12,88.04,122.81,88.04,545.5,154.1,10.13,,1.82,0.26,7.16,0.0,,,0,none,22.6,25.2,-1.8,28.0,4.1,20.17,10.52,47.69,54.56,,26.67,39.49,,17.0,0.15,highly inconsistent earnings,0.0,,0.48,,38.65,18.92,20.63,0.0,,0.0,0.0,0.35,0.0,23.68,11.5,42.4,18.6,-25.81,-29.56,0.27,0.55,5,40.0,15.5,13.0,0.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~154% CAGR (2yr) | Revenue CAGR 55% | Profit CAGR 39% | ROE 23% | ROCE 25% | Nearly debt-free,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,65,,2026-07-11,2026-06-01,40,-13.8,5,0.0
WEBELSOLAR,Websol Energy System Limited,Technology,Solar,4637.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=98 | 30-EMA=89 | Above by 18.0% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Sideways-Above-MA,True,False,Constructive,True,Downtrend,0,Uptrend,Uptrend,105.57,89.5,55.32,89.73,565.49,1381.49,3374.98,1381.49,1208.6,261.7,15.32,,11.52,0.11,11.23,0.0,0.0,,0,none,66.9,63.2,,41.0,-3.0,28.87,31.73,82.43,,,95.48,,,157.9,0.5,insufficient history,0.21,,2.94,,-57.61,-1.24,29.72,2.01,,4.12,-1.28,0.32,0.01,157.3,50.4,32.9,109.5,-11.47,1101.29,0.58,0.27,4,35.0,21.5,12.0,0.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~262% CAGR (2yr) | Revenue CAGR 132% | Profit CAGR 144% | ROE 67% | ROCE 63% | Low D/E 0.21,Margin compression ↓,2-3 years,Medium,"yfinance, screener.in",80,229,,2026-07-11,2026-06-01,40,0.0,5,0.0
CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,19293.0,Mid-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=2092 | 30-EMA=1825 | Above by 41.6% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Tight-Above-MAs,True,Stage2,6,Uptrend,Uptrend,2583.6,1824.65,1504.8,2196.06,4609.79,5527.6,6628.14,5527.6,113.9,46.3,30.21,23.73,5.49,1.52,24.2,32.0,-3.85,2505.0,2,none,20.6,24.6,-0.6,35.0,0.91,29.32,11.86,12.91,14.24,15.57,20.15,19.91,20.96,19.3,1.0,steady compounder (low CV),0.0,,6.7,,2.13,0.01,70.57,0.0,,6.15,-0.43,2.14,0.09,2675.0,1500.3,3.4,72.2,24.18,120.87,0.43,0.19,6,30.0,28.5,4.0,6.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~46% CAGR (2yr) | ROE 21% | ROCE 25% | Nearly debt-free | Promoter 71% holding | OPM 35%,None identified,2-3 years,Medium,"yfinance, screener.in",100,146,,2026-07-11,2026-06-01,40,26.8,5,5.5
RML,Rane (Madras) Limited,Consumer Cyclical,Auto Parts,3335.0,Small-Cap,MonthlyStage2,Breaking Out,1.0,24,10-EMA=799 | 30-EMA=769 | Above by 15.9% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Constructive,True,Stage2,3,Uptrend,Uptrend,891.15,768.71,601.53,757.48,2630.66,4019.38,6141.22,4019.38,351.0,112.4,31.06,,4.44,0.59,11.89,133.0,100.0,,0,none,15.5,14.0,3.51,9.0,1.34,2.78,5.03,13.42,17.95,24.98,181.58,52.79,121.65,5.2,0.15,highly inconsistent earnings,1.0,,0.92,,107.07,3.21,70.45,0.0,,0.06,0.01,0.97,-0.06,1264.8,608.5,29.5,46.5,5.64,0.53,3.21,0.43,6,26.0,27.0,10.0,5.0,68.0,ACCUMULATE ⭐⭐⭐,Expected ~112% CAGR (2yr) | Revenue CAGR 18% | Profit CAGR 53% | ROCE trend rising ↑ | Promoter 70% holding | FCF yield 3.2%,High D/E 1.0,2-3 years,Medium,"yfinance, screener.in",100,250,,2026-07-11,2026-06-01,40,0.0,5,0.0
KRISHNADEF,KRISHNA DEF AND ALD IND L,Industrials,Specialty Industrial Machinery,1871.0,Small-Cap,None,,0.0,0,,,Uptrend,True,False,Uptrend,True,Stage2,4,Uptrend,Uptrend,1171.6,,,995.86,1905.03,3841.5,7746.38,3841.5,227.9,81.1,44.65,,9.67,0.44,34.89,10.0,0.0,,0,none,25.4,30.7,7.0,22.0,2.5,16.88,16.06,28.95,56.43,,86.36,101.65,,72.9,1.0,steady compounder (low CV),0.01,,3.99,,72.96,3.9,59.96,-0.06,,0.61,0.45,2.06,0.86,1400.0,665.0,16.3,76.2,38.47,529.09,,0.92,7,40.0,13.0,7.0,8.0,68.0,ACCUMULATE ⭐⭐⭐,Expected ~81% CAGR (2yr) | Revenue CAGR 56% | Profit CAGR 102% | ROE 25% | ROCE 31% | ROCE trend rising ↑,None identified,2-3 years,Medium,"yfinance, screener.in",100,50,,2026-07-11,2026-06-01,40,0.0,5,2.0
SENCO,Senco Gold Limited,Consumer Cyclical,Luxury Goods,5342.0,Small-Cap,MonthlyDoubleBottom,Forming,0.325,8,Sep 8mo | Mid rally 41% | Asymmetry 8%,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,352.55,403.94,276.0,299.67,3495.7,3410.76,8261.36,5373.94,867.5,211.0,9.3,13.18,2.12,0.17,7.76,54.0,14.47,466.0,6,none,25.6,20.9,-0.29,11.0,0.37,6.81,9.39,33.22,27.4,25.95,261.01,53.73,56.57,151.3,0.15,highly inconsistent earnings,1.07,,1.54,,-224.74,-4.21,64.49,0.02,,7.6,-0.61,12.61,0.53,404.85,276.0,12.9,27.7,16.91,50.25,0.23,0.5,4,30.0,18.9,16.0,3.0,67.9,ACCUMULATE ⭐⭐⭐,Expected ~211% CAGR (2yr) | Revenue CAGR 27% | Profit CAGR 54% | ROE 26% | ROCE 21% | Promoter 64% holding,High D/E 1.1 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,36,,2026-07-11,2026-06-01,40,5.2,5,7.0
