Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
POWERMECH,Power Mech Projects Limited,Industrials,Engineering & Construction,7906.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,16,Sep 16mo | Mid rally 120% | Asymmetry 1%,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Constructive,True,Stage2,4,Bear,Choppy,2601.8,3722.33,1681.27,2211.53,5419.66,6817.39,8575.6,6817.39,162.0,61.9,21.74,13.71,3.46,0.84,11.56,5.0,18.56,2819.0,2,strong_buy,15.6,21.8,3.49,12.0,1.54,6.0,7.72,15.82,18.96,26.33,18.39,25.79,25.75,21.6,0.75,consistent growth,0.26,,1.71,,528.1,6.68,58.41,0.08,,6.48,-0.07,20.18,-0.36,3415.0,1717.7,23.8,51.5,-11.07,-5.39,0.55,0.65,7,39.0,20.5,10.0,0.0,69.5,ACCUMULATE ⭐⭐⭐,Expected ~62% CAGR (2yr) | Revenue CAGR 19% | Profit CAGR 26% | ROCE 22% | ROCE trend rising ↑ | Low D/E 0.26,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,131,,2026-06-06,2026-06-01,5,4.9,1,-1.0
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,292118.0,Large-Cap,MonthlyCupHandle,Forming,0.943,19,Cup 19mo | Depth 21% | Prior gain 30% | R²=0.97,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Bear,Choppy,10342.0,10449.22,8305.81,8790.7,20651.38,19215.31,29931.6,24862.2,85.8,36.3,27.25,22.21,7.52,1.34,20.03,143.0,2.33,10744.98,39,none,29.1,28.2,1.06,21.0,0.74,16.51,13.88,23.36,19.94,17.79,44.35,20.39,16.84,103.2,0.15,highly inconsistent earnings,0.56,,1.76,,-456.44,-0.16,55.01,0.02,,8.82,-0.02,14.35,0.28,10834.0,7858.5,4.5,31.6,34.8,98.49,0.3,0.71,6,28.0,23.32,8.0,10.0,69.3,ACCUMULATE ⭐⭐⭐,Expected ~36% CAGR (2yr) | Revenue CAGR 20% | Profit CAGR 20% | ROE 29% | ROCE 28% | ROCE trend rising ↑,Earnings due 2026-07-16 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,288,2026-07-16,2026-06-06,2026-06-01,5,1.3,1,-4.0
SJS,S.J.S. Enterprises Limited,Consumer Cyclical,Auto Parts,6736.0,Small-Cap,None,,0.0,0,,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,3,Bear,Choppy,2003.8,,,1703.23,3565.0,3874.44,6684.32,4881.56,93.4,39.1,41.15,26.46,7.76,1.11,24.11,17.0,25.0,2363.75,4,strong_buy,22.1,28.7,2.5,28.0,0.5,17.87,13.62,25.66,30.17,,44.54,36.93,,45.1,1.0,steady compounder (low CV),0.03,,2.95,,126.27,1.87,21.15,-0.03,,15.68,-1.24,31.09,1.99,2119.9,1080.9,5.5,85.4,69.26,187.24,,0.39,7,40.0,11.0,8.0,10.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~39% CAGR (2yr) | Revenue CAGR 30% | Profit CAGR 37% | ROE 22% | ROCE 29% | ROCE trend rising ↑,None identified,2-3 years,Medium,"yfinance, screener.in",100,56,,2026-06-06,2026-06-01,5,1.1,1,-4.0
MONARCH,Monarch Networth Capital Limited,Financial Services,Capital Markets,2663.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,21,Sep 21mo | Mid rally 116% | Asymmetry 4%,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Constructive,True,Stage2,12,Bear,Choppy,338.9,497.5,225.65,288.06,802.37,1295.51,2091.73,1295.51,282.3,95.5,14.73,,2.74,0.24,,30.0,25.99,,0,none,20.5,27.7,-2.71,69.0,6.14,49.44,12.91,13.41,31.93,29.28,21.48,61.46,49.79,84.3,0.15,highly inconsistent earnings,0.04,,2.21,,,,53.86,0.45,,1.47,0.03,0.15,0.0,398.8,235.45,15.0,43.9,-0.15,81.25,0.14,0.05,5,39.0,21.0,8.0,1.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~96% CAGR (2yr) | Revenue CAGR 32% | Profit CAGR 61% | ROE 20% | ROCE 28% | Nearly debt-free,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",90,54,,2026-06-06,2026-06-01,5,8.5,1,-1.0
SKMEGGPROD,SKM Egg Products Export (India) Limited,Consumer Defensive,Packaged Foods,1077.0,Small-Cap,MonthlyDoubleBottom,Breakout Ready,1.0,22,Sep 22mo | Mid rally 174% | Asymmetry 3%,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,True,Constructive,True,Stage2,15,Bear,Choppy,245.84,64.65,23.29,208.96,1066.77,1184.32,1314.84,1184.32,381.7,119.5,10.36,,3.17,0.94,6.41,37.0,44.22,,0,none,29.7,30.0,2.49,21.0,1.8,13.51,17.0,54.22,5.08,23.35,197.14,11.02,45.41,414.4,0.15,highly inconsistent earnings,0.36,,2.86,,16.81,1.56,57.47,0.04,,0.49,-0.26,0.36,0.04,232.5,96.3,-5.7,155.3,71.53,86.58,2.82,-0.19,6,28.0,23.0,10.0,8.0,69.0,ACCUMULATE ⭐⭐⭐,Expected ~120% CAGR (2yr) | ROE 30% | ROCE 30% | ROCE trend rising ↑ | Promoter 57% holding | Piotroski F=6 (above average quality),None identified,2-3 years,Medium,"yfinance, screener.in",100,288,,2026-06-06,2026-06-01,5,26.0,1,1.0
MAHABANK,Bank of Maharashtra,Financial Services,Banks - Regional,60971.0,Large-Cap,MonthlyDoubleBottom,Forming,0.948,24,Sep 24mo | Mid rally 101% | Asymmetry 6%,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,False,Tight-Above-MAs,True,Stage2,12,Bear,Choppy,79.19,46.75,22.59,67.31,273.82,261.93,530.11,380.99,230.8,81.9,8.69,,1.83,0.22,,315.0,-8.37,83.33,3,strong_buy,22.7,6.03,,57.89,,49.28,1.76,17.37,22.58,19.79,26.61,39.14,65.16,36.1,0.4,lumpy earner,,,,,,,73.6,0.0,,5.55,0.63,13.93,0.43,85.9,51.71,7.8,53.1,49.02,133.5,0.18,0.84,2,27.0,23.88,10.0,8.0,68.9,ACCUMULATE ⭐⭐⭐,Expected ~82% CAGR (2yr) | Revenue CAGR 23% | Profit CAGR 39% | ROE 23% | Promoter 74% holding | OPM 58%,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",80,267,,2026-06-06,2026-06-01,5,1.1,1,-4.0
GVT&D,GE Vernova T&D India Ltd,Industrials,Specialty Industrial Machinery,131828.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,36,Sep 36mo | Mid rally 193% | Asymmetry 3%,,Uptrend,True,True,Uptrend,True,Stage2,4,Bear,Choppy,4385.3,360.39,121.02,3727.51,2800.46,5049.55,9971.8,5284.47,15.1,7.3,106.38,66.83,63.17,1.2,77.4,19.0,100.0,4697.17,12,buy,18.6,,,12.0,,19.87,16.5,42.0,,,88.7,,,88.6,0.5,insufficient history,0.01,,1.33,,1180.97,0.9,51.0,0.0,,20.39,1.93,21.39,-1.88,5222.1,2204.0,16.0,99.0,93.79,1883.02,0.53,0.57,4,32.0,22.5,4.0,10.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~7% CAGR (2yr) | Revenue CAGR 42% | Profit CAGR 89% | Nearly debt-free | Promoter 51% holding | FII buying +1.9% ↑,High PE 106 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",70,286,,2026-06-06,2026-06-01,5,0.0,1,-4.0
SANDHAR,Sandhar Technologies Limited,Consumer Cyclical,Auto Parts,4071.0,Small-Cap,MonthlyStage2,Stage Change,1.0,24,10-EMA=555 | 30-EMA=488 | Above by 44.0% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Tight-Above-MAs,True,Stage2,3,Bear,Choppy,703.1,488.14,341.35,597.63,2607.51,2487.33,5042.32,3626.0,253.8,88.1,20.45,15.63,3.3,0.52,10.06,52.0,15.87,779.33,3,strong_buy,16.2,14.4,1.14,9.0,0.09,4.03,6.38,24.92,18.59,21.09,40.14,39.06,27.96,49.8,0.4,lumpy earner,0.86,,0.94,,-95.06,-2.33,70.38,0.0,,0.77,-0.39,17.39,1.51,733.9,405.2,4.2,73.5,50.76,73.57,0.84,,5,25.0,24.5,11.0,8.0,68.5,ACCUMULATE ⭐⭐⭐,Expected ~88% CAGR (2yr) | Revenue CAGR 19% | Profit CAGR 39% | ROCE trend rising ↑ | Promoter 70% holding | Piotroski F=5 (above average quality),None identified,2-3 years,Medium,"yfinance, screener.in",100,99,,2026-06-06,2026-06-01,5,37.5,1,1.0
WABAG,VA Tech Wabag Limited,Industrials,Engineering & Construction,9521.0,Mid-Cap,MonthlyStage2,Stage Change,0.973,24,10-EMA=1347 | 30-EMA=1214 | Above by 14.6% | MA turning=Yes,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Uptrend,True,Stage2,4,Bear,Choppy,1391.2,1214.05,1077.7,1182.52,7339.53,14973.66,76477.77,23692.0,976.3,228.1,22.03,17.26,4.09,0.1,16.37,26.0,100.0,1896.14,7,strong_buy,15.9,21.3,1.74,12.0,1.06,9.39,5.17,19.73,10.04,6.83,25.42,222.8,29.65,28.9,0.15,highly inconsistent earnings,0.09,,1.71,,140.94,1.48,19.09,-0.01,,16.6,-2.37,5.77,1.45,1672.1,1033.0,16.8,34.7,1.87,162.02,0.36,0.82,7,30.0,22.18,13.0,3.0,68.2,ACCUMULATE ⭐⭐⭐,Expected ~228% CAGR (2yr) | Profit CAGR 223% | ROCE 21% | ROCE trend rising ↑ | Nearly debt-free | Piotroski F=7 (high quality compounder),None identified,2-3 years,Medium,"yfinance, screener.in",100,188,,2026-06-06,2026-06-01,5,0.0,1,-4.0
SOLARINDS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,165117.0,Large-Cap,MonthlyCupHandle,Forming,0.872,12,Cup 12mo | Depth 23% | Prior gain 32% | R²=0.98,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,True,Tight-Above-MAs,True,Stage2,1,Bear,Choppy,18441.0,17879.67,13845.0,15674.85,5237.12,21914.34,8701.59,6750.65,18.8,9.0,98.04,54.78,26.3,3.39,63.44,6.0,10.06,20131.92,12,strong_buy,31.5,36.8,3.57,27.0,1.83,17.05,15.45,30.48,12.45,31.35,34.86,28.9,43.25,70.0,0.4,lumpy earner,0.23,,2.06,,-1315.16,-0.8,73.15,0.0,,6.59,-0.15,12.89,-0.02,18874.0,11646.0,2.3,58.3,35.42,367.58,0.3,0.16,6,36.0,21.96,0.0,10.0,68.0,ACCUMULATE ⭐⭐⭐,Expected ~9% CAGR (2yr) | Profit CAGR 29% | ROE 32% | ROCE 37% | ROCE trend rising ↑ | Low D/E 0.23,High PE 98 | Earnings due 2026-08-06 | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,243,2026-08-06,2026-06-06,2026-06-01,5,1.8,1,4.4
