Stock,Company_Name,Sector,Industry,Market_Cap_Cr,Cap_Class,Monthly_Pattern,Monthly_Pattern_Status,Monthly_Pattern_Quality,Monthly_Pattern_Duration_Mo,Monthly_Pattern_Details,Converging_Signals,Weekly_Trend,Weekly_Above_40MA,Weekly_Volume_Expanding,Daily_Setup,Daily_Above_50MA,Sector_Trend,Sector_Stage2_Age_Mo,Index_Regime,Nifty_Monthly_Trend,CMP,Breakout_Zone,Pattern_Bottom,Stop_Loss,Target_1yr,Target_2yr,Target_3yr,Fair_Value_Estimate,Upside_Potential_Pct,Expected_CAGR_2yr_Pct,PE_Ratio,Forward_PE,PB_Ratio,PEG_Ratio,EV_EBITDA,Dividend_Yield_Pct,Dividend_Growth_3yr_Pct,Analyst_Target,Analyst_Count,Analyst_Recommendation,ROE_Pct,ROCE_Pct,ROCE_Trend,Operating_Margin_Pct,OPM_Trend,Net_Margin_Pct,Return_on_Assets_Pct,Revenue_Growth_TTM_Pct,Revenue_Growth_3yr_CAGR,Revenue_Growth_5yr_CAGR,Profit_Growth_TTM_Pct,Profit_Growth_3yr_CAGR,Profit_Growth_5yr_CAGR,EPS_Growth_Quarterly_Pct,EPS_Consistency_Score,EPS_Consistency_Desc,Debt_to_Equity,DE_Trend,Current_Ratio,Interest_Coverage,Free_Cashflow_Cr,FCF_Yield_Pct,Promoter_Holding_Pct,Promoter_Change_QoQ,Promoter_Pledge_Pct,FII_Holding_Pct,FII_Change_QoQ,DII_Holding_Pct,DII_Change_QoQ,52wk_High,52wk_Low,Dist_From_52wk_High_Pct,Dist_From_52wk_Low_Pct,RS_vs_Nifty_1yr_Pct,RS_vs_Nifty_3yr_Pct,Monthly_Vol_Surge,Beta,Piotroski_F_Score,Fundamental_Score_40,Technical_Score_30,Valuation_Score_20,Momentum_Score_10,Overall_Score_100,Rating_Grade,Why_Buy,Key_Risks,Investment_Horizon,Risk_Level,Data_Sources,Data_Quality_Pct,Monthly_Bars,Next_Earnings,Scan_Date,First_Seen_Date,Days_On_Watchlist,Price_Change_Since_First_Pct,Times_Scanned,Score_vs_First
JINDRILL,Jindal Drilling & Industries Limited,Energy,Oil & Gas Equipment & Services,1719.0,Small-Cap,MonthlyDoubleBottom,Forming,1.0,21,Sep 21mo | Mid rally 456% | Asymmetry 0%,MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,False,Constructive,True,Stage2,1,Uptrend,Uptrend,655.45,1032.12,185.38,557.13,1872.61,2426.34,3143.81,2426.34,270.2,92.4,8.16,,0.94,0.28,4.16,17.0,25.99,,0,none,12.5,15.4,2.69,35.0,3.43,21.13,4.92,20.41,24.87,20.16,-2.31,29.57,25.42,-36.6,0.15,highly inconsistent earnings,0.05,,1.58,,130.28,7.58,66.78,0.34,,0.62,-0.23,0.0,0.0,693.5,440.1,5.5,48.9,10.59,69.49,8.92,-0.41,7,40.0,25.0,14.0,4.0,83.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~92% CAGR (2yr) | Revenue CAGR 25% | Profit CAGR 30% | ROCE trend rising ↑ | Nearly debt-free | Promoter 67% holding,Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,261,,2026-06-01,2026-06-01,0,,1,
SEAMECLTD,Seamec Limited,Industrials,Marine Shipping,4119.0,Small-Cap,MonthlyStage2,Breaking Out,1.0,24,10-EMA=1290 | 30-EMA=1123 | Above by 39.0% | MA turning=Yes,MonthlyCupHandle+MonthlyDoubleBottom+MonthlyStage2,Uptrend,True,True,Uptrend,True,Stage2,4,Uptrend,Uptrend,1561.6,1123.43,796.15,1327.36,6725.63,13147.93,25702.89,13147.93,742.0,190.2,16.34,,3.82,0.17,10.69,0.0,0.0,,0,none,21.8,20.0,2.03,42.0,2.06,26.39,9.36,46.01,29.63,29.94,188.64,95.49,20.74,140.8,0.15,highly inconsistent earnings,0.27,,1.89,,-201.82,-4.9,72.72,0.0,,3.73,0.37,4.49,0.41,1709.2,752.55,8.6,107.5,88.79,111.92,2.22,0.12,6,35.0,28.0,12.0,8.0,83.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~190% CAGR (2yr) | Revenue CAGR 30% | Profit CAGR 95% | ROE 22% | ROCE trend rising ↑ | Low D/E 0.27,None identified,1-3 years,Low-Medium,"yfinance, screener.in",100,287,,2026-06-01,2026-06-01,0,,1,
SKYGOLD,Sky Gold and Diamonds Limited,Consumer Cyclical,Luxury Goods,8069.0,Mid-Cap,MonthlyDoubleBottom,Forming,0.372,13,Sep 13mo | Mid rally 40% | Asymmetry 2%,,Uptrend,True,True,Tight-Above-MAs,True,Stage2,3,Uptrend,Uptrend,458.3,402.85,285.0,389.56,2345.07,3696.73,14162.58,5763.0,706.6,184.0,28.82,17.02,7.69,0.2,17.31,0.0,,597.33,3,strong_buy,29.2,27.0,3.3,7.0,1.1,4.35,16.11,77.42,76.03,,112.03,145.75,,120.8,0.4,lumpy earner,0.72,,1.89,,159.03,1.97,51.74,0.0,,1.2,0.42,13.14,1.48,549.9,246.05,16.7,86.3,53.35,1528.36,1.19,,5,40.0,19.96,15.0,8.0,83.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~184% CAGR (2yr) | Revenue CAGR 76% | Profit CAGR 146% | ROE 29% | ROCE 27% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,41,,2026-06-01,2026-06-01,0,,1,
NATIONALUM,National Aluminium Company Limited,Basic Materials,Aluminum,77956.0,Large-Cap,MonthlyDoubleBottom,Forming,0.971,11,Sep 11mo | Mid rally 98% | Asymmetry 1%,,Sideways-Above-MA,True,False,Constructive,False,Stage2,1,Uptrend,Uptrend,398.95,109.96,55.48,339.11,1081.55,1195.34,2743.23,1722.48,199.6,73.1,12.69,11.26,3.61,0.21,8.05,188.0,5.73,404.64,11,hold,29.4,39.6,4.8,44.0,4.69,31.32,19.88,6.28,7.77,14.78,10.04,59.26,34.87,-16.7,0.15,highly inconsistent earnings,0.0,,3.6,,3684.96,4.73,51.28,0.0,,22.27,2.6,10.75,-1.6,445.15,176.34,10.4,126.2,123.82,428.34,0.39,0.6,6,40.0,20.65,12.0,10.0,82.6,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~73% CAGR (2yr) | Profit CAGR 59% | ROE 29% | ROCE 40% | ROCE trend rising ↑ | Nearly debt-free,Earnings due 2026-07-30 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,326,2026-07-30,2026-06-01,2026-06-01,0,,1,
THANGAMAYL,Thangamayil Jewellery Limited,Consumer Cyclical,Luxury Goods,13070.0,Mid-Cap,MonthlyDoubleBottom,Forming,0.991,8,Sep 8mo | Mid rally 109% | Asymmetry 10%,,Uptrend,True,True,Uptrend,True,Stage2,3,Uptrend,Uptrend,3653.1,230.34,105.16,3105.13,26585.1,73893.34,540503.92,119872.24,1922.8,349.8,37.18,27.18,11.2,0.11,24.09,43.0,37.16,4925.0,3,buy,27.93,,,7.11,,4.14,10.28,105.6,,,350.9,,,354.3,0.5,insufficient history,0.65,,1.54,,203.12,1.55,61.61,0.05,,4.37,-0.33,17.41,0.79,4373.0,1750.1,16.5,108.7,104.92,366.01,1.12,0.61,5,34.0,24.89,13.0,10.0,81.9,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~350% CAGR (2yr) | Revenue CAGR 106% | Profit CAGR 351% | ROE 28% | Promoter 62% holding | Piotroski F=5 (above average quality),Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",70,196,,2026-06-01,2026-06-01,0,,1,
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,103683.0,Large-Cap,MonthlyDoubleBottom,Forming,0.974,41,Sep 41mo | Mid rally 98% | Asymmetry 1%,,Sideways-Above-MA,True,True,Constructive,False,Stage2,4,Uptrend,Uptrend,2287.4,1234.32,618.72,1944.29,14085.09,20305.9,73631.59,32204.16,787.7,197.9,19.49,22.28,4.62,0.15,12.39,53.0,44.22,2458.5,38,buy,29.1,30.3,5.69,32.0,4.29,19.07,12.76,23.12,18.88,13.02,61.98,128.64,54.16,89.0,0.15,highly inconsistent earnings,0.29,,1.9,,4926.22,4.75,46.85,-0.04,,21.7,0.2,25.32,-0.26,2494.0,1836.8,8.3,24.5,26.21,134.1,1.09,0.23,7,40.0,22.19,13.0,6.0,81.2,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~198% CAGR (2yr) | Revenue CAGR 19% | Profit CAGR 129% | ROE 29% | ROCE 30% | ROCE trend rising ↑,Earnings due 2026-08-05 | Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,297,2026-08-05,2026-06-01,2026-06-01,0,,1,
VENUSREM,Venus Remedies Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1713.0,Small-Cap,MonthlyDoubleBottom,Forming,0.723,8,Sep 8mo | Mid rally 76% | Asymmetry 3%,,Uptrend,True,True,Uptrend,True,Stage2,4,Uptrend,Uptrend,1005.2,592.69,331.51,854.42,4955.65,7743.2,12098.75,7743.2,670.3,177.5,16.64,,2.88,0.3,11.0,78.0,0.0,,0,none,16.8,21.7,2.29,19.0,1.26,13.35,9.69,20.31,11.73,7.2,128.89,56.25,10.69,126.4,0.15,highly inconsistent earnings,0.02,,2.44,,93.44,5.45,41.76,0.0,,2.8,0.55,1.2,0.17,1280.05,415.4,21.5,142.0,126.7,272.28,0.45,0.15,7,37.0,21.68,12.0,10.0,80.7,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~178% CAGR (2yr) | Profit CAGR 56% | ROCE 22% | ROCE trend rising ↑ | Nearly debt-free | FCF yield 5.5%,Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,234,,2026-06-01,2026-06-01,0,,1,
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,Asset Management,70246.0,Large-Cap,MonthlyDoubleBottom,Forming,1.0,36,Sep 36mo | Mid rally 133% | Asymmetry 3%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,12,Uptrend,Uptrend,1082.2,412.28,174.58,919.87,644.99,931.33,1062.7,827.9,,,46.52,33.19,15.04,1.64,34.59,195.0,18.22,1086.48,23,none,34.5,43.8,3.06,66.0,0.69,52.14,25.08,7.59,21.46,13.81,18.9,28.36,17.59,28.8,0.15,highly inconsistent earnings,0.02,,4.2,,1302.41,1.85,71.93,-0.12,,7.35,-0.55,14.77,0.94,1125.0,714.05,3.8,51.6,45.83,289.46,0.71,0.59,7,40.0,28.5,2.0,10.0,80.5,STRONG BUY ⭐⭐⭐⭐⭐,Revenue CAGR 21% | Profit CAGR 28% | ROE 34% | ROCE 44% | ROCE trend rising ↑ | Nearly debt-free,Pattern still forming (not broken out),1-3 years,Low-Medium,"yfinance, screener.in",100,103,,2026-06-01,2026-06-01,0,,1,
SANDUMA,The Sandur Manganese & Iron Ores Limited,Basic Materials,Steel,11001.0,Mid-Cap,MonthlyDoubleBottom,Forming,0.877,11,Sep 11mo | Mid rally 90% | Asymmetry 2%,MonthlyCupHandle+MonthlyDoubleBottom,Uptrend,True,True,Tight-Above-MAs,True,Stage2,1,Uptrend,Uptrend,226.15,210.6,109.48,192.23,391.95,526.82,708.1,526.82,133.0,52.6,16.75,,3.79,0.49,9.72,18.0,25.0,,0,none,23.2,24.4,-1.57,24.0,-2.46,12.9,11.16,62.3,33.76,48.61,39.7,34.41,34.95,50.5,0.15,highly inconsistent earnings,0.31,,1.16,,793.91,7.22,74.22,0.0,,1.63,0.43,0.66,-0.01,273.0,141.37,17.2,60.0,49.93,,0.9,0.77,4,38.0,25.52,10.0,7.0,80.5,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~53% CAGR (2yr) | Revenue CAGR 34% | Profit CAGR 34% | ROE 23% | ROCE 24% | Promoter 74% holding,Margin compression ↓ | Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,33,,2026-06-01,2026-06-01,0,,1,
GOKULAGRO,Gokul Agro Resources Limited,Consumer Defensive,Packaged Foods,6760.0,Small-Cap,MonthlyDoubleBottom,Forming,0.42,10,Sep 10mo | Mid rally 42% | Asymmetry 0%,,Uptrend,True,False,Tight-Above-MAs,True,Stage2,15,Uptrend,Uptrend,236.92,67.5,47.4,201.38,1011.97,1425.56,2008.19,1425.56,501.7,145.3,18.28,,4.76,0.45,9.88,0.0,,,0,none,30.0,36.7,2.09,3.0,0.23,1.54,8.6,23.15,30.88,23.53,50.0,40.87,52.32,144.8,0.15,highly inconsistent earnings,0.41,,1.23,,420.05,6.21,74.24,0.0,,1.51,-0.07,0.09,0.08,249.92,122.1,5.2,94.0,66.24,318.52,0.45,-0.01,5,40.0,20.04,12.0,8.0,80.0,STRONG BUY ⭐⭐⭐⭐⭐,Expected ~145% CAGR (2yr) | Revenue CAGR 31% | Profit CAGR 41% | ROE 30% | ROCE 37% | ROCE trend rising ↑,Pattern still forming (not broken out),2-3 years,Medium,"yfinance, screener.in",100,123,,2026-06-01,2026-06-01,0,,1,
